layer,top1_effective_experts,top2_effective_experts,top1_dominant_frac,active_top1_count,entropy_length_corr_across_top1_experts,top1_fraction_by_expert,top2_fraction_by_expert
0,1.0,2.0,1.0,1,,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
1,1.0,2.0280837762144417,1.0,1,,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.5, 0.0011574074160307646, 0.0, 0.0, 0.0, 0.49807098507881165, 0.0007716049440205097]"
2,1.0,2.011565909105755,1.0,1,,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0007716049440205097, 0.0, 0.5, 0.0, 0.0, 0.4992283880710602, 0.0]"
3,1.3565693832617307,3.030025723663078,0.9089506268501282,2,1.0,"[0.0, 0.09104938060045242, 0.0, 0.0, 0.0, 0.0, 0.9089506268501282, 0.0]","[0.002314814832061529, 0.3653549253940582, 0.0, 0.0, 0.13734567165374756, 0.02739197574555874, 0.46759259700775146, 0.0]"
4,1.4666318223825954,2.8546907604629865,0.8742284178733826,2,-1.0,"[0.0007716049440205097, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.8742284178733826]","[0.0007716049440205097, 0.0, 0.1979166716337204, 0.0, 0.0, 0.0, 0.3371913433074951, 0.46412035822868347]"
5,1.0,2.0,1.0,1,,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
6,1.7904885104160522,2.574136759345341,0.7600308656692505,2,-1.0,"[0.2330246865749359, 0.0, 0.0, 0.0069444444961845875, 0.0, 0.0, 0.0, 0.7600308656692505]","[0.49151235818862915, 0.0, 0.0, 0.10030864179134369, 0.0, 0.0, 0.0, 0.40817901492118835]"
7,2.4954984974875454,3.0396643459662336,0.6180555820465088,3,-0.05476599559187889,"[0.0, 0.0, 0.0, 0.6180555820465088, 0.0, 0.24459876120090485, 0.13734567165374756, 0.0]","[0.0, 0.00038580247201025486, 0.002314814832061529, 0.36998456716537476, 0.0, 0.3267746865749359, 0.30054011940956116, 0.0]"
8,1.6829017104971271,4.689814394851874,0.8086419701576233,2,-1.0,"[0.8086419701576233, 0.0, 0.0, 0.007716049440205097, 0.0, 0.1836419701576233, 0.0, 0.0]","[0.43865740299224854, 0.13425925374031067, 0.09529320895671844, 0.10108024626970291, 0.0, 0.1809413582086563, 0.0, 0.04976851865649223]"
9,1.8147192051726309,2.248476300960554,0.716821014881134,2,-0.9999999403953552,"[0.28317901492118835, 0.716821014881134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4756944477558136, 0.5, 0.005401234608143568, 0.0, 0.002314814832061529, 0.0, 0.016589505597949028, 0.0]"
