layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
0,w1,0,1,1,0.9848400354385376
0,w1,0,2,0,0.0008243322372436523
0,w1,0,3,0,0.9848244786262512
0,w1,0,4,0,0.001475214958190918
0,w1,0,5,0,0.9847941994667053
0,w1,0,6,0,0.0010632872581481934
0,w1,0,7,0,0.9848403334617615
0,w1,1,2,0,0.9848754405975342
0,w1,1,3,0,-4.76837158203125e-07
0,w1,1,4,0,0.9847290515899658
0,w1,1,5,0,0.0005071163177490234
0,w1,1,6,0,0.9847806096076965
0,w1,1,7,0,3.4570693969726562e-06
0,w1,2,3,1,0.9848584532737732
0,w1,2,4,0,0.0015549659729003906
0,w1,2,5,0,0.984827995300293
0,w1,2,6,0,0.002650022506713867
0,w1,2,7,0,0.9848750233650208
0,w1,3,4,0,0.9847127199172974
0,w1,3,5,0,0.0006075501441955566
0,w1,3,6,0,0.9847667217254639
0,w1,3,7,0,0.00010114908218383789
0,w1,4,5,1,0.9846795797348022
0,w1,4,6,0,0.0015990734100341797
0,w1,4,7,0,0.9847286939620972
0,w1,5,6,0,0.9847346544265747
0,w1,5,7,0,0.0006101131439208984
0,w1,6,7,1,0.9847819805145264
0,w2,0,1,1,1.0000430345535278
0,w2,0,2,0,9.965896606445312e-05
0,w2,0,3,0,1.000034213066101
0,w2,0,4,0,0.00030922889709472656
0,w2,0,5,0,1.0000349283218384
0,w2,0,6,0,0.00018423795700073242
0,w2,0,7,0,1.0000382661819458
0,w2,1,2,0,1.0000509023666382
0,w2,1,3,0,-0.00016391277313232422
0,w2,1,4,0,1.0000362396240234
0,w2,1,5,0,1.4841556549072266e-05
0,w2,1,6,0,1.0000395774841309
0,w2,1,7,0,-0.00016427040100097656
0,w2,2,3,1,1.000042200088501
0,w2,2,4,0,0.0003402233123779297
0,w2,2,5,0,1.0000426769256592
0,w2,2,6,0,0.0007091164588928223
0,w2,2,7,0,1.0000462532043457
0,w2,3,4,0,1.0000277757644653
0,w2,3,5,0,4.6372413635253906e-05
0,w2,3,6,0,1.0000311136245728
0,w2,3,7,0,-0.0001291036605834961
