layer,base_key,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.0,6,6,4,0,"[-0.013021883554756641, -0.03175460919737816, -0.016269784420728683, -0.020799918100237846, -0.01052912324666977, -0.016254400834441185, 0.026248497888445854, -0.028768265619874]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.009999999776482582,6,6,4,0,"[-0.013139680959284306, -0.031815823167562485, -0.015834230929613113, -0.02089344896376133, -0.01068525668233633, -0.016361646354198456, 0.025930354371666908, -0.028837990015745163]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.019999999552965164,6,6,4,0,"[-0.01325747836381197, -0.03187704086303711, -0.015398678369820118, -0.020986979827284813, -0.010841390118002892, -0.016468891873955727, 0.02561221271753311, -0.028907716274261475]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.029999999329447746,6,6,4,0,"[-0.01337527483701706, -0.031938254833221436, -0.014963125810027122, -0.021080510690808296, -0.010997524484992027, -0.016576137393712997, 0.025294069200754166, -0.028977440670132637]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.03999999910593033,6,6,4,0,"[-0.013493072241544724, -0.03199947252869606, -0.014527573250234127, -0.02117404155433178, -0.011153657920658588, -0.016683382913470268, 0.02497592754662037, -0.0290471650660038]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.04999999701976776,6,6,4,0,"[-0.013610869646072388, -0.032060686498880386, -0.014092020690441132, -0.021267572417855263, -0.01130979135632515, -0.01679062843322754, 0.024657784029841423, -0.029116889461874962]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.05999999865889549,6,6,4,0,"[-0.013728667050600052, -0.03212190419435501, -0.013656467199325562, -0.021361103281378746, -0.011465925723314285, -0.01689787581562996, 0.024339642375707626, -0.029186615720391273]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.07000000029802322,6,6,4,0,"[-0.013846463523805141, -0.03218311816453934, -0.013220914639532566, -0.02145463414490223, -0.011622059158980846, -0.01700512133538723, 0.02402149885892868, -0.029256340116262436]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.07999999821186066,6,6,4,0,"[-0.013964260928332806, -0.03224433586001396, -0.01278536207973957, -0.021548165008425713, -0.011778192594647408, -0.0171123668551445, 0.023703355342149734, -0.0293260645121336]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.08999999612569809,6,6,4,0,"[-0.01408205833286047, -0.03230554983019829, -0.012349808588624, -0.021641695871949196, -0.011934326030313969, -0.01721961237490177, 0.023385213688015938, -0.02939579077064991]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.09999999403953552,6,6,2,0,"[-0.01419985480606556, -0.032366763800382614, -0.011914256028831005, -0.02173522673547268, -0.01209045946598053, -0.017326857894659042, 0.02306707203388214, -0.029465515166521072]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.10999999940395355,6,6,2,0,"[-0.014317652210593224, -0.03242798149585724, -0.01147870346903801, -0.021828757598996162, -0.012246593832969666, -0.017434103414416313, 0.022748928517103195, -0.029535239562392235]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.11999999731779099,6,6,2,0,"[-0.014435449615120888, -0.032489195466041565, -0.01104314997792244, -0.021922288462519646, -0.012402727268636227, -0.017541348934173584, 0.02243078500032425, -0.029604963958263397]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.12999999523162842,6,6,2,0,"[-0.014553247019648552, -0.03255041316151619, -0.010607597418129444, -0.02201581932604313, -0.012558860704302788, -0.017648594453930855, 0.022112643346190453, -0.02967469021677971]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.14000000059604645,6,6,2,0,"[-0.014671044424176216, -0.032611627131700516, -0.010172044858336449, -0.022109350189566612, -0.012714995071291924, -0.017755839973688126, 0.021794499829411507, -0.02974441461265087]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.14999999105930328,6,6,2,0,"[-0.014788840897381306, -0.03267284482717514, -0.009736491367220879, -0.022202881053090096, -0.01287112757563591, -0.017863085493445396, 0.02147635817527771, -0.029814139008522034]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.1599999964237213,6,6,2,0,"[-0.01490663830190897, -0.03273405879735947, -0.009300938807427883, -0.02229641191661358, -0.013027261942625046, -0.017970331013202667, 0.021158214658498764, -0.029883865267038345]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.17000000178813934,6,6,2,0,"[-0.015024435706436634, -0.03279527649283409, -0.008865386247634888, -0.022389942780137062, -0.013183395378291607, -0.018077578395605087, 0.020840071141719818, -0.029953589662909508]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.17999999225139618,6,6,2,0,"[-0.015142232179641724, -0.03285649046301842, -0.008429833687841892, -0.022483473643660545, -0.013339528813958168, -0.018184823915362358, 0.02052192948758602, -0.03002331405878067]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.1899999976158142,6,6,2,0,"[-0.015260029584169388, -0.03291770815849304, -0.007994280196726322, -0.02257700450718403, -0.013495663180947304, -0.01829206943511963, 0.020203787833452225, -0.030093040317296982]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.19999998807907104,6,6,2,0,"[-0.015377826988697052, -0.03297892212867737, -0.007558727636933327, -0.022670535370707512, -0.013651796616613865, -0.0183993149548769, 0.01988564431667328, -0.030162764713168144]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.20999999344348907,6,6,2,0,"[-0.015495624393224716, -0.033040136098861694, -0.007123175077140331, -0.022764064371585846, -0.013807930052280426, -0.01850656047463417, 0.019567500799894333, -0.030232489109039307]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.2199999988079071,6,6,2,0,"[-0.01561342179775238, -0.03310135379433632, -0.006687621586024761, -0.02285759523510933, -0.013964064419269562, -0.01861380599439144, 0.019249359145760536, -0.03030221350491047]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.22999998927116394,6,6,2,0,"[-0.015731219202280045, -0.033162567764520645, -0.006252069026231766, -0.022951126098632812, -0.014120196923613548, -0.018721051514148712, 0.01893121562898159, -0.03037193976342678]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.23999999463558197,6,6,2,0,"[-0.01584901660680771, -0.03322378545999527, -0.00581651646643877, -0.023044656962156296, -0.014276331290602684, -0.018828297033905983, 0.018613073974847794, -0.030441664159297943]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.25,6,6,2,0,"[-0.015966814011335373, -0.033284999430179596, -0.0053809629753232, -0.02313818782567978, -0.014432464726269245, -0.018935542553663254, 0.018294930458068848, -0.030511388555169106]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.25999999046325684,6,6,2,0,"[-0.016084609553217888, -0.03334621712565422, -0.004945410415530205, -0.023231718689203262, -0.014588598161935806, -0.019042788073420525, 0.0179767869412899, -0.030581112951040268]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.26999998092651367,6,6,2,0,"[-0.016202406957745552, -0.03340743109583855, -0.004509857855737209, -0.023325249552726746, -0.014744732528924942, -0.019150033593177795, 0.017658645287156105, -0.03065083920955658]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.2800000011920929,6,6,2,0,"[-0.016320204362273216, -0.03346864879131317, -0.004074304364621639, -0.02341878041625023, -0.014900865964591503, -0.019257280975580215, 0.01734050363302231, -0.030720563605427742]"
