layer,base_key,expert,entropy_slope,bias,slope_rank_low_to_high
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0,-0.011779718101024628,-0.013021883554756641,2
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,1,-0.006121563725173473,-0.03175460919737816,6
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,2,0.04355528578162193,-0.016269784420728683,7
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,3,-0.00935308262705803,-0.020799918100237846,4
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,4,-0.015613366849720478,-0.01052912324666977,1
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,5,-0.010724568739533424,-0.016254400834441185,3
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,6,-0.031814269721508026,0.026248497888445854,0
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,7,-0.006972493603825569,-0.028768265619874,5
0,model.global_transformer.layers.0.feed_forward.patch_length_router,0,-0.011779718101024628,-0.013021883554756641,2
0,model.global_transformer.layers.0.feed_forward.patch_length_router,1,-0.006121563725173473,-0.03175460919737816,6
0,model.global_transformer.layers.0.feed_forward.patch_length_router,2,0.04355528578162193,-0.016269784420728683,7
0,model.global_transformer.layers.0.feed_forward.patch_length_router,3,-0.00935308262705803,-0.020799918100237846,4
0,model.global_transformer.layers.0.feed_forward.patch_length_router,4,-0.015613366849720478,-0.01052912324666977,1
0,model.global_transformer.layers.0.feed_forward.patch_length_router,5,-0.010724568739533424,-0.016254400834441185,3
0,model.global_transformer.layers.0.feed_forward.patch_length_router,6,-0.031814269721508026,0.026248497888445854,0
0,model.global_transformer.layers.0.feed_forward.patch_length_router,7,-0.006972493603825569,-0.028768265619874,5
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,0,0.030024107545614243,-0.02056329883635044,7
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,1,0.006509380415081978,-0.003126173745840788,4
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,2,-0.005769530776888132,-0.0055579012259840965,0
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,3,-0.0053229136392474174,-0.00219707447104156,1
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,4,0.012075122445821762,0.0010870371479541063,5
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,5,-0.0028387883212417364,-0.00296194339171052,2
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,6,0.005128043703734875,0.02334010787308216,3
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,7,0.024224625900387764,0.004027363378554583,6
