layer,base_key,slope_std,bias_std,top2_same_pair_fraction_on_entropy_grid,top1_fraction_by_expert,top2_fraction_by_expert
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.02025575563311577,0.0166682917624712,0.007481296758104738,"[0.0, 0.0, 0.8578553795814514, 0.0, 0.0, 0.0, 0.14214463531970978, 0.0]","[0.1371571123600006, 0.06234414130449295, 0.4875311851501465, 0.0037406482733786106, 0.01246882788836956, 0.031172070652246475, 0.24563591182231903, 0.019950125366449356]"
0,model.global_transformer.layers.0.feed_forward.patch_length_router,0.02025575563311577,0.0166682917624712,0.007481296758104738,"[0.0, 0.0, 0.8578553795814514, 0.0, 0.0, 0.0, 0.14214463531970978, 0.0]","[0.1371571123600006, 0.06234414130449295, 0.4875311851501465, 0.0037406482733786106, 0.01246882788836956, 0.031172070652246475, 0.24563591182231903, 0.019950125366449356]"
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,0.012549679726362228,0.011373469606041908,0.44139650872817954,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25436410307884216, 0.7456359267234802]","[0.2793017327785492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2206982523202896, 0.5]"
1,model.global_transformer.layers.1.feed_forward.patch_length_router,0.012549679726362228,0.011373469606041908,0.44139650872817954,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25436410307884216, 0.7456359267234802]","[0.2793017327785492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2206982523202896, 0.5]"
10,model.global_transformer.layers.10.feed_forward.patch_feature_router,0.004557471722364426,0.005070562940090895,0.6783042394014963,"[0.0, 0.0, 0.0, 0.0, 0.8329176902770996, 0.0, 0.1670822948217392, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.4463840425014496, 0.39276808500289917, 0.16084788739681244, 0.0]"
10,model.global_transformer.layers.10.feed_forward.patch_length_router,0.004557471722364426,0.005070562940090895,0.6783042394014963,"[0.0, 0.0, 0.0, 0.0, 0.8329176902770996, 0.0, 0.1670822948217392, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.4463840425014496, 0.39276808500289917, 0.16084788739681244, 0.0]"
11,model.global_transformer.layers.11.feed_forward.patch_feature_router,0.011492016725242138,0.015642207115888596,0.0,"[0.22942642867565155, 0.0, 0.0, 0.7705735564231873, 0.0, 0.0, 0.0, 0.0]","[0.18827930092811584, 0.3079800605773926, 0.0, 0.4002493619918823, 0.0, 0.0, 0.10349126905202866, 0.0]"
11,model.global_transformer.layers.11.feed_forward.patch_length_router,0.011492016725242138,0.015642207115888596,0.0,"[0.22942642867565155, 0.0, 0.0, 0.7705735564231873, 0.0, 0.0, 0.0, 0.0]","[0.18827930092811584, 0.3079800605773926, 0.0, 0.4002493619918823, 0.0, 0.0, 0.10349126905202866, 0.0]"
12,model.global_transformer.layers.12.feed_forward.patch_feature_router,0.006110781338065863,0.004868446383625269,0.07231920199501247,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2793017327785492, 0.7206982374191284]","[0.0, 0.0, 0.28304240107536316, 0.0, 0.1807980090379715, 0.0, 0.17456358671188354, 0.361596018075943]"
12,model.global_transformer.layers.12.feed_forward.patch_length_router,0.006110781338065863,0.004868446383625269,0.07231920199501247,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2793017327785492, 0.7206982374191284]","[0.0, 0.0, 0.28304240107536316, 0.0, 0.1807980090379715, 0.0, 0.17456358671188354, 0.361596018075943]"
13,model.global_transformer.layers.13.feed_forward.patch_feature_router,0.0050255912356078625,0.0027934566605836153,0.0,"[0.0, 0.0, 0.0024937656708061695, 0.0, 0.9975062608718872, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
13,model.global_transformer.layers.13.feed_forward.patch_length_router,0.0050255912356078625,0.0027934566605836153,0.0,"[0.0, 0.0, 0.0024937656708061695, 0.0, 0.9975062608718872, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
14,model.global_transformer.layers.14.feed_forward.patch_feature_router,0.0019647248554974794,0.0036633575800806284,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
14,model.global_transformer.layers.14.feed_forward.patch_length_router,0.0019647248554974794,0.0036633575800806284,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,0.01180287916213274,0.013408771716058254,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.30049875378608704, 0.19950124621391296]"
