layer,feature_mode,router_weight_shape,active_top1,active_top2,top1_eff_num,top2_eff_num,top1_dominant_expert,top1_dominant_frac,top2_dominant_expert,top2_dominant_frac,expert_entropy_length_corr,shortest_experts,longest_experts,shortest_mean_entropy,longest_mean_entropy,shortest_mean_length,longest_mean_length,top1_counts,top2_counts,expert_count,expert_mean_entropy,expert_mean_length
0,entropy_length_weight_shape_2,"(8, 2)",1,3,1.0,2.2189606777968436,0,1.0,0,0.5,,0,0,2.0,2.0,8.5,8.5,"[2576, 0, 0, 0, 0, 0, 0, 0]","[2576, 0, 137, 0, 0, 2439, 0, 0]","[2576, 0, 0, 0, 0, 0, 0, 0]","[2.0, None, None, None, None, None, None, None]","[8.5, None, None, None, None, None, None, None]"
1,entropy_length_weight_shape_2,"(8, 2)",2,2,1.9787324621974411,2.0,7,0.5729813664596274,6,0.5,-1.0,7,6,2.802269697189331,0.9235000014305115,7.474254608154297,9.876363754272461,"[0, 0, 0, 0, 0, 0, 1100, 1476]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 1100, 1476]","[None, None, None, None, None, None, 0.9235000014305115, 2.802269697189331]","[None, None, None, None, None, None, 9.876363754272461, 7.474254608154297]"
2,entropy_length_weight_shape_2,"(8, 2)",2,2,1.2156783616097546,2.0,5,0.9510869565217391,5,0.5,1.0,6,5,0.1805555671453476,2.093571424484253,4.134920597076416,8.72449016571045,"[0, 0, 0, 0, 0, 2450, 126, 0]","[0, 0, 0, 0, 0, 2576, 2576, 0]","[0, 0, 0, 0, 0, 2450, 126, 0]","[None, None, None, None, None, 2.093571424484253, 0.1805555671453476, None]","[None, None, None, None, None, 8.72449016571045, 4.134920597076416, None]"
3,entropy_length_weight_shape_2,"(8, 2)",3,5,2.3005852738710226,3.115697558343199,2,0.5722049689440993,2,0.48971273291925466,-0.7300024332381535,6,1,3.3320565223693848,0.8225460052490234,1.5403225421905518,9.904908180236816,"[0, 978, 1474, 0, 0, 0, 124, 0]","[0, 1720, 2523, 53, 712, 0, 144, 0]","[0, 978, 1474, 0, 0, 0, 124, 0]","[None, 0.8225460052490234, 2.669182538986206, None, None, None, 3.3320565223693848, None]","[None, 9.904908180236816, 8.153324127197266, None, None, None, 1.5403225421905518, None]"
4,entropy_length_weight_shape_2,"(8, 2)",2,4,1.103805123970985,2.7121548510101285,2,0.9798136645962733,2,0.4920419254658385,1.0000000000000002,7,2,0.1850961595773697,2.037390947341919,1.9807692766189575,8.634310722351074,"[0, 0, 2524, 0, 0, 0, 0, 52]","[0, 0, 2535, 0, 0, 374, 2113, 130]","[0, 0, 2524, 0, 0, 0, 0, 52]","[None, None, 2.037390947341919, None, None, None, None, 0.1850961595773697]","[None, None, 8.634310722351074, None, None, None, None, 1.9807692766189575]"
5,entropy_length_weight_shape_2,"(8, 2)",4,4,2.729341634921334,3.099383171642293,2,0.5527950310559007,2,0.46312111801242234,-0.023754246493933942,6,2,0.7749999761581421,2.508075714111328,1.0,10.514044761657715,"[0, 701, 1424, 442, 0, 0, 9, 0]","[0, 1704, 2386, 914, 0, 0, 148, 0]","[0, 701, 1424, 442, 0, 0, 9, 0]","[None, 0.5463623404502869, 2.508075714111328, 2.693495273590088, None, None, 0.7749999761581421, None]","[None, 8.340941429138184, 10.514044761657715, 2.4162895679473877, None, None, 1.0, None]"
6,entropy_length_weight_shape_2,"(8, 2)",3,3,1.2874157221783935,2.2902652753507637,7,0.9437111801242236,7,0.5,0.3361170181387088,5,7,3.4000000953674316,2.0328259468078613,1.0,8.9210205078125,"[0, 0, 0, 0, 96, 49, 0, 2431]","[0, 0, 0, 0, 2378, 198, 0, 2576]","[0, 0, 0, 0, 96, 49, 0, 2431]","[None, None, None, None, 0.4541666507720947, 3.4000000953674316, None, 2.0328259468078613]","[None, None, None, None, 1.6666666269302368, 1.0, None, 8.9210205078125]"
7,entropy_length_weight_shape_2,"(8, 2)",4,5,1.9197846147498623,2.794667000827797,5,0.7930900621118012,3,0.4576863354037267,-0.6430076888715707,7,5,3.4125001430511475,1.8280836343765259,1.0,10.010278701782227,"[0, 0, 0, 412, 0, 2043, 73, 48]","[0, 0, 155, 2358, 0, 2305, 284, 50]","[0, 0, 0, 412, 0, 2043, 73, 48]","[None, None, None, 2.8988468647003174, None, 1.8280836343765259, 0.8095890283584595, 3.4125001430511475]","[None, None, None, 3.1844661235809326, None, 10.010278701782227, 1.1643835306167603, 1.0]"
8,entropy_length_weight_shape_2,"(8, 2)",3,3,1.2688553738240949,2.5739274821810207,2,0.9421583850931677,2,0.5,-0.46970784083134587,3,2,0.14999999105930328,1.9782344102859497,1.0,8.955912590026855,"[0, 0, 2427, 13, 0, 136, 0, 0]","[0, 0, 2576, 523, 0, 2053, 0, 0]","[0, 0, 2427, 13, 0, 136, 0, 0]","[None, None, 1.9782344102859497, 0.14999999105930328, None, 2.5652573108673096, None, None]","[None, None, 8.955912590026855, 1.0, None, 1.0808823108673096, None, None]"
9,entropy_length_weight_shape_2,"(8, 2)",3,3,1.8238978156012955,2.2226693483864266,5,0.7783385093167702,5,0.5,-0.5889270519877408,2,5,0.22412283718585968,1.8437405824661255,1.8596491813659668,10.12967586517334,"[0, 0, 57, 0, 0, 2005, 514, 0]","[0, 0, 140, 0, 0, 2576, 2436, 0]","[0, 0, 57, 0, 0, 2005, 514, 0]","[None, None, 0.22412283718585968, None, None, 1.8437405824661255, 2.806468963623047, None]","[None, None, 1.8596491813659668, None, None, 10.12967586517334, 2.8793773651123047, None]"
10,entropy_length_weight_shape_2,"(8, 2)",2,3,1.1725247552260158,2.38280786793565,7,0.9627329192546584,7,0.5,-1.0,4,7,3.3184897899627686,1.948961615562439,1.3020833730697632,8.778629302978516,"[0, 0, 0, 0, 96, 0, 0, 2480]","[0, 0, 0, 0, 288, 0, 2288, 2576]","[0, 0, 0, 0, 96, 0, 0, 2480]","[None, None, None, None, 3.3184897899627686, None, None, 1.948961615562439]","[None, None, None, None, 1.3020833730697632, None, None, 8.778629302978516]"
11,entropy_length_weight_shape_2,"(8, 2)",4,4,2.4229559903573867,2.7876074791887073,1,0.6459627329192547,3,0.47437888198757766,-0.8682311241433279,6,3,0.09999999403953552,1.049283504486084,1.0,10.28184700012207,"[275, 1664, 0, 628, 0, 0, 9, 0]","[439, 2132, 0, 2444, 0, 0, 137, 0]","[275, 1664, 0, 628, 0, 0, 9, 0]","[0.23581820726394653, 2.6606369018554688, None, 1.049283504486084, None, None, 0.09999999403953552, None]","[10.247272491455078, 7.57932710647583, None, 10.28184700012207, None, None, 1.0, None]"
12,entropy_length_weight_shape_2,"(8, 2)",2,4,1.346166613577447,3.0126932623933462,5,0.9122670807453416,5,0.4751552795031056,-1.0,4,5,2.9940266609191895,1.9044040441513062,1.7566372156143188,9.148510932922363,"[0, 0, 0, 0, 226, 2350, 0, 0]","[0, 0, 0, 1953, 356, 2448, 395, 0]","[0, 0, 0, 0, 226, 2350, 0, 0]","[None, None, None, None, 2.9940266609191895, 1.9044040441513062, None, None]","[None, None, None, None, 1.7566372156143188, 9.148510932922363, None, None]"
13,entropy_length_weight_shape_2,"(8, 2)",3,3,2.1255392316991677,2.3350895306629873,5,0.625,2,0.5,-0.9979829228629471,4,5,3.200000047683716,1.5646274089813232,1.0,10.79378890991211,"[0, 0, 901, 0, 65, 1610, 0, 0]","[0, 0, 2576, 0, 240, 2336, 0, 0]","[0, 0, 901, 0, 65, 1610, 0, 0]","[None, None, 2.6913986206054688, None, 3.200000047683716, 1.5646274089813232, None, None]","[None, None, 4.942286491394043, None, 1.0, 10.79378890991211, None, None]"
14,entropy_length_weight_shape_2,"(8, 2)",2,3,1.8874959868173808,2.4594471124358925,3,0.6684782608695652,2,0.5,-1.0,2,3,2.598243474960327,1.7033101320266724,3.8629977703094482,10.799651145935059,"[0, 0, 854, 1722, 0, 0, 0, 0]","[0, 0, 2576, 2203, 373, 0, 0, 0]","[0, 0, 854, 1722, 0, 0, 0, 0]","[None, None, 2.598243474960327, 1.7033101320266724, None, None, None, None]","[None, None, 3.8629977703094482, 10.799651145935059, None, None, None, None]"
15,entropy_length_weight_shape_2,"(8, 2)",3,4,1.9117027183743442,3.1781578957057857,4,0.780667701863354,4,0.4019798136645963,-0.7545213712229257,5,4,2.5105385780334473,1.7799975872039795,2.283372402191162,10.02685260772705,"[0, 0, 0, 0, 2011, 427, 0, 138]","[0, 0, 0, 0, 2071, 1190, 114, 1777]","[0, 0, 0, 0, 2011, 427, 0, 138]","[None, None, None, None, 1.7799975872039795, 2.5105385780334473, None, 3.626267910003662]","[None, None, None, None, 10.02685260772705, 2.283372402191162, None, 5.485507011413574]"
16,entropy_length_weight_shape_2,"(8, 2)",4,4,1.935886112220497,2.7153237891465962,6,0.8086180124223602,1,0.4831133540372671,-0.7798937863374072,7,6,0.875,1.8253000974655151,1.0,9.881421089172363,"[0, 267, 0, 187, 0, 0, 2083, 39]","[0, 2489, 0, 447, 0, 0, 2127, 89]","[0, 267, 0, 187, 0, 0, 2083, 39]","[None, 2.8902621269226074, None, 2.909491777420044, None, None, 1.8253000974655151, 0.875]","[None, 3.7340824604034424, None, 1.48128342628479, None, None, 9.881421089172363, 1.0]"
17,entropy_length_weight_shape_2,"(8, 2)",1,3,1.0,2.014109286810052,3,1.0,3,0.5,,3,3,2.0,2.0,8.5,8.5,"[0, 0, 0, 2576, 0, 0, 0, 0]","[0, 0, 5, 2576, 0, 0, 0, 2571]","[0, 0, 0, 2576, 0, 0, 0, 0]","[None, None, None, 2.0, None, None, None, None]","[None, None, None, 8.5, None, None, None, None]"
18,entropy_length_weight_shape_2,"(8, 2)",2,4,1.5540313604755496,3.021824594862133,5,0.8392857142857143,5,0.44759316770186336,-1.0,0,5,2.9325482845306396,1.8214271068572998,2.642512083053589,9.621646881103516,"[414, 0, 0, 0, 0, 2162, 0, 0]","[2080, 0, 270, 496, 0, 2306, 0, 0]","[414, 0, 0, 0, 0, 2162, 0, 0]","[2.9325482845306396, None, None, None, None, 1.8214271068572998, None, None]","[2.642512083053589, None, None, None, None, 9.621646881103516, None, None]"
19,entropy_length_weight_shape_2,"(8, 2)",1,3,1.0,2.7308210037629292,2,1.0,2,0.5,,2,2,2.0,2.0,8.5,8.5,"[0, 0, 2576, 0, 0, 0, 0, 0]","[811, 1765, 2576, 0, 0, 0, 0, 0]","[0, 0, 2576, 0, 0, 0, 0, 0]","[None, None, 2.0, None, None, None, None, None]","[None, None, 8.5, None, None, None, None, None]"
20,entropy_length_weight_shape_2,"(8, 2)",1,2,1.0,2.0,2,1.0,0,0.5,,2,2,2.0,2.0,8.5,8.5,"[0, 0, 2576, 0, 0, 0, 0, 0]","[2576, 0, 2576, 0, 0, 0, 0, 0]","[0, 0, 2576, 0, 0, 0, 0, 0]","[None, None, 2.0, None, None, None, None, None]","[None, None, 8.5, None, None, None, None, None]"
21,entropy_length_weight_shape_2,"(8, 2)",1,3,1.0,2.82208059230416,5,1.0,5,0.5,,5,5,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 2576, 0, 0]","[0, 0, 1410, 1166, 0, 2576, 0, 0]","[0, 0, 0, 0, 0, 2576, 0, 0]","[None, None, None, None, None, 2.0, None, None]","[None, None, None, None, None, 8.5, None, None]"
22,entropy_length_weight_shape_2,"(8, 2)",2,2,1.604410496570535,2.0,3,0.8190993788819876,3,0.5,-0.9999999999999999,5,3,2.7187230587005615,1.8412678241729736,2.515021562576294,9.82180118560791,"[0, 0, 0, 2110, 0, 466, 0, 0]","[0, 0, 0, 2576, 0, 2576, 0, 0]","[0, 0, 0, 2110, 0, 466, 0, 0]","[None, None, None, 1.8412678241729736, None, 2.7187230587005615, None, None]","[None, None, None, 9.82180118560791, None, 2.515021562576294, None, None]"
23,entropy_length_weight_shape_2,"(8, 2)",1,3,1.0,2.8254902537875006,1,1.0,1,0.5,,1,1,2.0,2.0,8.5,8.5,"[0, 2576, 0, 0, 0, 0, 0, 0]","[0, 2576, 0, 1371, 1205, 0, 0, 0]","[0, 2576, 0, 0, 0, 0, 0, 0]","[None, 2.0, None, None, None, None, None, None]","[None, 8.5, None, None, None, None, None, None]"
24,entropy_length_weight_shape_2,"(8, 2)",2,2,1.2633812503027273,2.0,2,0.9375,2,0.5,,6,2,2.0,2.0,1.0,9.0,"[0, 0, 2415, 0, 0, 0, 161, 0]","[0, 0, 2576, 0, 0, 0, 2576, 0]","[0, 0, 2415, 0, 0, 0, 161, 0]","[None, None, 2.0, None, None, None, 2.0, None]","[None, None, 9.0, None, None, None, 1.0, None]"
