layer,mode,router_weight_shape,active_top1,active_top2,top1_eff_num,top2_eff_num,top1_dominant_expert,top1_dominant_frac,top2_dominant_expert,top2_dominant_frac,expert_entropy_length_corr,shortest_experts,longest_experts,shortest_mean_entropy,longest_mean_entropy,shortest_mean_length,longest_mean_length,top1_counts,top2_counts,expert_count,expert_mean_entropy,expert_mean_length
0,entropy_length_log,"(8, 2)",1,3,1.0,2.6648011148440274,0,1.0,0,0.5,,0,0,2.0,2.0,8.5,8.5,"[2576, 0, 0, 0, 0, 0, 0, 0]","[2576, 0, 672, 0, 0, 1904, 0, 0]","[2576, 0, 0, 0, 0, 0, 0, 0]","[2.0, None, None, None, None, None, None, None]","[8.5, None, None, None, None, None, None, None]"
1,entropy_length_log,"(8, 2)",2,2,1.7555131771741788,2.0,7,0.749611801242236,6,0.5,-1.0,7,6,2.503120183944702,0.4937596917152405,8.399274826049805,8.801549911499023,"[0, 0, 0, 0, 0, 0, 645, 1931]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 645, 1931]","[None, None, None, None, None, None, 0.4937596917152405, 2.503120183944702]","[None, None, None, None, None, None, 8.801549911499023, 8.399274826049805]"
2,entropy_length_log,"(8, 2)",2,2,1.4509417493224832,2.0,5,0.8773291925465838,5,0.5,1.0,6,5,0.2356012761592865,2.2467033863067627,8.193037986755371,8.542920112609863,"[0, 0, 0, 0, 0, 2260, 316, 0]","[0, 0, 0, 0, 0, 2576, 2576, 0]","[0, 0, 0, 0, 0, 2260, 316, 0]","[None, None, None, None, None, 2.2467033863067627, 0.2356012761592865, None]","[None, None, None, None, None, 8.542920112609863, 8.193037986755371, None]"
3,entropy_length_log,"(8, 2)",3,5,2.7440915610283434,3.867919368420993,2,0.5388198757763976,2,0.4697204968944099,-0.6794405615105215,6,2,3.4299838542938232,2.00787091255188,6.476499080657959,9.275216102600098,"[0, 571, 1388, 0, 0, 0, 617, 0]","[0, 781, 2420, 165, 1058, 0, 728, 0]","[0, 571, 1388, 0, 0, 0, 617, 0]","[None, 0.4356830418109894, 2.00787091255188, None, None, None, 3.4299838542938232, None]","[None, 8.802101135253906, 9.275216102600098, None, None, None, 6.476499080657959, None]"
4,entropy_length_log,"(8, 2)",2,4,1.3655663940900482,2.959353627397087,2,0.906055900621118,2,0.4613742236024845,1.0000000000000002,7,2,0.18481406569480896,2.188206911087036,7.570248126983643,8.59640121459961,"[0, 0, 2334, 0, 0, 0, 0, 242]","[0, 0, 2377, 0, 0, 255, 2070, 450]","[0, 0, 2334, 0, 0, 0, 0, 242]","[None, None, 2.188206911087036, None, None, None, None, 0.18481406569480896]","[None, None, 8.59640121459961, None, None, None, None, 7.570248126983643]"
5,entropy_length_log,"(8, 2)",3,4,1.884107241785377,3.457886893146271,3,0.7290372670807453,3,0.41867236024844723,-0.3338617961307585,6,1,0.72661292552948,0.5308096408843994,1.1612902879714966,9.334332466125488,"[0, 667, 0, 1878, 0, 0, 31, 0]","[0, 791, 1720, 2157, 0, 0, 484, 0]","[0, 667, 0, 1878, 0, 0, 31, 0]","[None, 0.5308096408843994, None, 2.5428247451782227, None, None, 0.72661292552948, None]","[None, 9.334332466125488, None, 8.324813842773438, None, None, 1.1612902879714966, None]"
6,entropy_length_log,"(8, 2)",3,3,1.9762192372856833,2.779001998095027,7,0.7573757763975155,7,0.5,0.08766373164503262,5,7,3.3439338207244873,2.3053689002990723,1.6617647409439087,9.327524185180664,"[0, 0, 0, 0, 489, 136, 0, 1951]","[0, 0, 0, 0, 1628, 948, 0, 2576]","[0, 0, 0, 0, 489, 136, 0, 1951]","[None, None, None, None, 0.4078732132911682, 3.3439338207244873, None, 2.3053689002990723]","[None, None, None, None, 7.1002044677734375, 1.6617647409439087, None, 9.327524185180664]"
7,entropy_length_log,"(8, 2)",5,5,3.033009138351071,4.240039579706453,3,0.577639751552795,3,0.35287267080745344,-0.1443613994366385,2,5,2.137500047683716,0.6890254020690918,1.0,11.274168014526367,"[0, 0, 22, 1488, 0, 631, 292, 143]","[0, 0, 773, 1818, 0, 1145, 1240, 176]","[0, 0, 22, 1488, 0, 631, 292, 143]","[None, None, 2.137500047683716, 2.658047914505005, None, 0.6890254020690918, 0.7665240168571472, 3.434965133666992]","[None, None, 1.0, 9.147177696228027, None, 11.274168014526367, 3.003424644470215, 1.9020979404449463]"
8,entropy_length_log,"(8, 2)",3,3,1.6950299769693649,2.4166865755472093,2,0.812888198757764,2,0.49611801242236025,-0.6847957162334344,3,2,0.15390625596046448,1.8642430305480957,1.59375,9.889684677124023,"[0, 0, 2094, 32, 0, 450, 0, 0]","[0, 0, 2556, 323, 0, 2273, 0, 0]","[0, 0, 2094, 32, 0, 450, 0, 0]","[None, None, 1.8642430305480957, 0.15390625596046448, None, 2.763000011444092, None, None]","[None, None, 9.889684677124023, 1.59375, None, 2.524444341659546, None, None]"
9,entropy_length_log,"(8, 2)",3,3,2.245150557967884,2.4488825741327327,6,0.6972049689440993,5,0.4984472049689441,-0.4814991373491147,2,5,0.21190038323402405,0.856434166431427,7.4132843017578125,10.746562004089355,"[0, 0, 271, 0, 0, 509, 1796, 0]","[0, 0, 360, 0, 0, 2568, 2224, 0]","[0, 0, 271, 0, 0, 509, 1796, 0]","[None, None, 0.21190038323402405, None, None, 0.856434166431427, 2.593903064727783, None]","[None, None, 7.4132843017578125, None, None, 10.746562004089355, 8.02728271484375, None]"
