layer,mode,router_weight_shape,active_top1,active_top2,top1_eff_num,top2_eff_num,top1_dominant_expert,top1_dominant_frac,top2_dominant_expert,top2_dominant_frac,expert_entropy_length_corr,shortest_experts,longest_experts,shortest_mean_entropy,longest_mean_entropy,shortest_mean_length,longest_mean_length,top1_counts,top2_counts,expert_count,expert_mean_entropy,expert_mean_length
0,length_entropy_log,"(8, 2)",1,3,1.0,2.7122696274682045,0,1.0,0,0.5,,0,0,2.0,2.0,8.5,8.5,"[2576, 0, 0, 0, 0, 0, 0, 0]","[2576, 0, 768, 0, 0, 1808, 0, 0]","[2576, 0, 0, 0, 0, 0, 0, 0]","[2.0, None, None, None, None, None, None, None]","[8.5, None, None, None, None, None, None, None]"
1,length_entropy_log,"(8, 2)",2,2,1.3151179029448463,2.0,7,0.921972049689441,6,0.5,-0.9999999999999999,6,7,2.300995111465454,1.974526286125183,1.1990050077438354,9.117895126342773,"[0, 0, 0, 0, 0, 0, 201, 2375]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 201, 2375]","[None, None, None, None, None, None, 2.300995111465454, 1.974526286125183]","[None, None, None, None, None, None, 1.1990050077438354, 9.117895126342773]"
2,length_entropy_log,"(8, 2)",1,2,1.0,2.0,5,1.0,5,0.5,,5,5,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 2576, 0, 0]","[0, 0, 0, 0, 0, 2576, 2576, 0]","[0, 0, 0, 0, 0, 2576, 0, 0]","[None, None, None, None, None, 2.0, None, None]","[None, None, None, None, None, 8.5, None, None]"
3,length_entropy_log,"(8, 2)",4,5,2.2525248693365256,3.9548681024157695,2,0.7053571428571429,2,0.421972049689441,-0.5279248194504219,1,6,2.137500047683716,0.6699295043945312,1.0,11.837742805480957,"[0, 150, 1817, 42, 0, 0, 567, 0]","[0, 311, 2174, 476, 1546, 0, 645, 0]","[0, 150, 1817, 42, 0, 0, 567, 0]","[None, 2.137500047683716, 2.445143222808838, 0.2071428745985031, None, None, 0.6699295043945312, None]","[None, 1.0, 8.185470581054688, 3.8333332538604736, None, None, 11.837742805480957, None]"
4,length_entropy_log,"(8, 2)",1,4,1.0,2.2971173427068194,2,1.0,2,0.5,,2,2,2.0,2.0,8.5,8.5,"[0, 0, 2576, 0, 0, 0, 0, 0]","[0, 0, 2576, 0, 0, 76, 2415, 85]","[0, 0, 2576, 0, 0, 0, 0, 0]","[None, None, 2.0, None, None, None, None, None]","[None, None, 8.5, None, None, None, None, None]"
5,length_entropy_log,"(8, 2)",4,4,1.732239752148741,3.230855675734859,3,0.859083850931677,3,0.4701086956521739,-0.3757316231824539,1,3,2.7543885707855225,1.8995029926300049,1.3670213222503662,9.511523246765137,"[0, 188, 108, 2213, 0, 0, 67, 0]","[0, 256, 1558, 2422, 0, 0, 916, 0]","[0, 188, 108, 2213, 0, 0, 67, 0]","[None, 2.7543885707855225, 3.723611354827881, 1.8995029926300049, None, None, 0.42425376176834106, None]","[None, 1.3670213222503662, 4.601851940155029, 9.511523246765137, None, None, 1.3880597352981567, None]"
6,length_entropy_log,"(8, 2)",3,3,1.9140137263116932,2.7775587799926473,7,0.7837732919254659,7,0.49728260869565216,-0.06972061963303965,4,5,0.8751633763313293,0.39164605736732483,1.5032680034637451,10.84900951385498,"[0, 0, 0, 0, 153, 404, 0, 2019]","[0, 0, 0, 0, 1658, 932, 0, 2562]","[0, 0, 0, 0, 153, 404, 0, 2019]","[None, None, None, None, 0.8751633763313293, 0.39164605736732483, None, 2.4070703983306885]","[None, None, None, None, 1.5032680034637451, 10.84900951385498, None, 8.560178756713867]"
7,length_entropy_log,"(8, 2)",5,5,3.252618497489258,4.383696669477801,3,0.6114130434782609,3,0.3878105590062112,-0.19493018242665347,6,7,0.959482729434967,0.3755384683609009,1.8472906351089478,11.80923080444336,"[0, 0, 125, 1575, 0, 348, 203, 325]","[0, 0, 907, 1998, 0, 1063, 824, 360]","[0, 0, 125, 1575, 0, 348, 203, 325]","[None, None, 0.4844000041484833, 2.317857027053833, None, 3.2298851013183594, 0.959482729434967, 0.3755384683609009]","[None, None, 6.168000221252441, 10.077460289001465, None, 2.9885058403015137, 1.8472906351089478, 11.80923080444336]"
8,length_entropy_log,"(8, 2)",2,3,1.9184701180112773,2.040108457581537,2,0.6432453416149069,5,0.5,-1.0,2,5,2.7090675830841064,0.7215179800987244,8.132166862487793,9.16322135925293,"[0, 0, 1657, 0, 0, 919, 0, 0]","[0, 0, 2559, 17, 0, 2576, 0, 0]","[0, 0, 1657, 0, 0, 919, 0, 0]","[None, None, 2.7090675830841064, None, None, 0.7215179800987244, None, None]","[None, None, 8.132166862487793, None, None, 9.16322135925293, None, None]"
9,length_entropy_log,"(8, 2)",3,3,1.5520198276198556,2.4835348330182407,6,0.8536490683229814,6,0.5,-0.8589589573768813,1,6,0.16249999403953552,1.8367666006088257,1.0,9.512505531311035,"[0, 14, 0, 0, 0, 363, 2199, 0]","[0, 402, 0, 0, 0, 2174, 2576, 0]","[0, 14, 0, 0, 0, 363, 2199, 0]","[None, 0.16249999403953552, None, None, None, 3.0597105026245117, 1.8367666006088257, None]","[None, 1.0, None, None, None, 2.6556472778320312, 9.512505531311035, None]"
