layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
0,w1,0,1,1,0.984842836856842
0,w1,0,2,0,0.004411578178405762
0,w1,0,3,0,0.9849237203598022
0,w1,0,4,0,0.0037209391593933105
0,w1,0,5,0,0.9848065376281738
0,w1,0,6,0,0.0038367509841918945
0,w1,0,7,0,0.9848861694335938
0,w1,1,2,0,0.9847375154495239
0,w1,1,3,0,0.003681659698486328
0,w1,1,4,0,0.9847525358200073
0,w1,1,5,0,0.0035889148712158203
0,w1,1,6,0,0.9848569631576538
0,w1,1,7,0,0.001685023307800293
0,w1,2,3,1,0.9848179817199707
0,w1,2,4,0,0.0037347078323364258
0,w1,2,5,0,0.9847097396850586
0,w1,2,6,0,0.005807280540466309
0,w1,2,7,0,0.9847835302352905
0,w1,3,4,0,0.9848281145095825
0,w1,3,5,0,0.005672335624694824
0,w1,3,6,0,0.9849328398704529
0,w1,3,7,0,0.004574179649353027
0,w1,4,5,1,0.9847198724746704
0,w1,4,6,0,0.003938913345336914
0,w1,4,7,0,0.9847860336303711
0,w1,5,6,0,0.9848191142082214
0,w1,5,7,0,0.00445103645324707
0,w1,6,7,1,0.984900951385498
0,w2,0,1,1,1.0000431537628174
0,w2,0,2,0,0.0013047456741333008
0,w2,0,3,0,1.000065803527832
0,w2,0,4,0,0.0010582804679870605
0,w2,0,5,0,1.0000375509262085
0,w2,0,6,0,0.0010906457901000977
0,w2,0,7,0,1.000040888786316
0,w2,1,2,0,1.0000463724136353
0,w2,1,3,0,0.0010448694229125977
0,w2,1,4,0,1.000044822692871
0,w2,1,5,0,0.001002192497253418
0,w2,1,6,0,1.0000332593917847
0,w2,1,7,0,0.000386655330657959
0,w2,2,3,1,1.0000702142715454
0,w2,2,4,0,0.001074671745300293
0,w2,2,5,0,1.0000423192977905
0,w2,2,6,0,0.0017564892768859863
0,w2,2,7,0,1.000043511390686
0,w2,3,4,0,1.0000697374343872
0,w2,3,5,0,0.001707911491394043
0,w2,3,6,0,1.0000545978546143
0,w2,3,7,0,0.0013332366943359375
0,w2,4,5,1,1.0000392198562622
0,w2,4,6,0,0.001134634017944336
0,w2,4,7,0,1.0000404119491577
0,w2,5,6,0,1.000027060508728
0,w2,5,7,0,0.0012851953506469727
0,w2,6,7,1,1.0000296831130981
0,w3,0,1,1,0.9992097616195679
0,w3,0,2,0,0.006284117698669434
0,w3,0,3,0,0.9991220235824585
0,w3,0,4,0,0.0052901506423950195
0,w3,0,5,0,0.9991616606712341
0,w3,0,6,0,0.005305886268615723
0,w3,0,7,0,0.9992296695709229
0,w3,1,2,0,0.9991879463195801
0,w3,1,3,0,0.0052928924560546875
0,w3,1,4,0,0.9992778301239014
0,w3,1,5,0,0.005108296871185303
0,w3,1,6,0,0.9991768598556519
0,w3,1,7,0,0.0025177001953125
0,w3,2,3,1,0.9990949034690857
0,w3,2,4,0,0.005420327186584473
0,w3,2,5,0,0.9991489052772522
0,w3,2,6,0,0.008254766464233398
0,w3,2,7,0,0.9992094039916992
0,w3,3,4,0,0.9991795420646667
0,w3,3,5,0,0.0079878568649292
0,w3,3,6,0,0.9990666508674622
0,w3,3,7,0,0.0065490007400512695
0,w3,4,5,1,0.9992296695709229
0,w3,4,6,0,0.005613923072814941
0,w3,4,7,0,0.9993013143539429
0,w3,5,6,0,0.9991331696510315
0,w3,5,7,0,0.0063059329986572266
0,w3,6,7,1,0.9991978406906128
1,w1,0,1,1,0.9883081912994385
1,w1,0,2,0,0.00040084123611450195
1,w1,0,3,0,0.9881894588470459
1,w1,0,4,0,0.003620326519012451
1,w1,0,5,0,0.9881332516670227
1,w1,0,6,0,0.0034443140029907227
1,w1,0,7,0,0.9882603883743286
1,w1,1,2,0,0.9883243441581726
1,w1,1,3,0,0.003884553909301758
1,w1,1,4,0,0.9883459210395813
1,w1,1,5,0,0.0035639405250549316
1,w1,1,6,0,0.9883776903152466
1,w1,1,7,0,0.0039559006690979
1,w1,2,3,1,0.9882026314735413
1,w1,2,4,0,0.0035318732261657715
1,w1,2,5,0,0.9881481528282166
1,w1,2,6,0,0.0033353567123413086
1,w1,2,7,0,0.9882776141166687
1,w1,3,4,0,0.9882310032844543
1,w1,3,5,0,0.000966489315032959
1,w1,3,6,0,0.9882619380950928
1,w1,3,7,0,0.0038056373596191406
1,w1,4,5,1,0.9881729483604431
1,w1,4,6,0,0.005568265914916992
1,w1,4,7,0,0.9883019328117371
1,w1,5,6,0,0.9882034063339233
1,w1,5,7,0,0.0034862756729125977
1,w1,6,7,1,0.9883354902267456
1,w2,0,1,1,1.0002268552780151
1,w2,0,2,0,-4.0411949157714844e-05
1,w2,0,3,0,1.0002294778823853
1,w2,0,4,0,0.000986933708190918
1,w2,0,5,0,1.0002278089523315
1,w2,0,6,0,0.0009161233901977539
1,w2,0,7,0,1.0002135038375854
1,w2,1,2,0,1.0002260208129883
1,w2,1,3,0,0.0010923147201538086
1,w2,1,4,0,1.0001999139785767
1,w2,1,5,0,0.0009903311729431152
1,w2,1,6,0,1.00019109249115
1,w2,1,7,0,0.0011049509048461914
1,w2,2,3,1,1.0002286434173584
1,w2,2,4,0,0.0009652376174926758
1,w2,2,5,0,1.0002268552780151
1,w2,2,6,0,0.0008813142776489258
1,w2,2,7,0,1.0002121925354004
1,w2,3,4,0,1.0002036094665527
1,w2,3,5,0,0.00014585256576538086
1,w2,3,6,0,1.0001955032348633
1,w2,3,7,0,0.001065969467163086
1,w2,4,5,1,1.0002013444900513
1,w2,4,6,0,0.0015909671783447266
1,w2,4,7,0,1.0001875162124634
1,w2,5,6,0,1.0001933574676514
1,w2,5,7,0,0.0009657144546508789
