layer,length_axis_std,entropy_axis_std,bias_std,length_axis_l2,entropy_axis_l2,entropy_to_length_l2_ratio,length_entropy_axis_cosine,same_pair_fraction,active_top1_count,active_top2_count,top2_effective_experts,active_top1_experts,active_top2_experts,top1_fraction_by_expert,top2_fraction_by_expert
0,0.037795290350914,0.045142799615859985,0.05070613697171211,0.11494225263595581,0.19933733344078064,1.7342389666933034,-0.8564068078994751,0.020061728395061727,2,5,3.0765884356470563,"[0, 1]","[0, 1, 4, 6, 7]","[0.9305555820465088, 0.0694444477558136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.46682098507881165, 0.043209876865148544, 0.0, 0.0, 0.043595679104328156, 0.0, 0.4058642089366913, 0.04050925746560097]"
1,0.04332057759165764,0.051394395530223846,0.06043477728962898,0.16720160841941833,0.23685450851917267,1.4165803233485226,-0.9419006109237671,0.15354938271604937,2,5,2.9306537278453595,"[0, 1]","[0, 1, 3, 5, 6]","[0.012345679104328156, 0.9876543283462524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.08024691045284271, 0.4965277910232544, 0.005787036847323179, 0.02121913619339466, 0.0, 0.010030863806605339, 0.386188268661499, 0.0]"
2,0.039400216192007065,0.05214202031493187,0.06073883920907974,0.15295541286468506,0.2707700729370117,1.770254925051614,-0.9095381498336792,0.0,1,3,2.6191889953278924,[3],"[3, 6, 7]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0015432098880410194, 0.0, 0.5, 0.0011574074160307646, 0.0, 0.3962191343307495, 0.10108024626970291]"
3,0.027351610362529755,0.031184088438749313,0.030284889042377472,0.0773986279964447,0.10776352137327194,1.3923182382279702,-0.7609800696372986,0.0,2,4,3.160621770273654,"[0, 6]","[0, 1, 4, 6]","[0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.875, 0.0]","[0.09799382835626602, 0.08719135820865631, 0.0, 0.0, 0.31481480598449707, 0.0, 0.5, 0.0]"
4,0.0358709841966629,0.03900938853621483,0.04284615442156792,0.11037524044513702,0.15445862710475922,1.399395611568649,-0.912676215171814,0.2692901234567901,4,5,4.2079331807259495,"[0, 2, 6, 7]","[0, 2, 4, 6, 7]","[0.17206789553165436, 0.0, 0.2469135820865631, 0.0, 0.0, 0.0, 0.31095677614212036, 0.270061731338501]","[0.08719135820865631, 0.0, 0.28240740299224854, 0.0, 0.08294752985239029, 0.0, 0.38734567165374756, 0.1601080298423767]"
5,0.035767413675785065,0.041942112147808075,0.04364283010363579,0.10271141678094864,0.16540978848934174,1.6104323518592791,-0.8177365660667419,0.0,2,5,3.3861929827538,"[1, 7]","[1, 4, 5, 6, 7]","[0.0, 0.8356481194496155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16435185074806213]","[0.0, 0.4232253134250641, 0.0, 0.0, 0.07677469402551651, 0.02083333395421505, 0.3931327164173126, 0.08603394776582718]"
6,0.0337422676384449,0.04111374914646149,0.04138818755745888,0.0969119668006897,0.16019891202449799,1.6530354022632208,-0.8203375339508057,0.0,3,5,3.6641688230383154,"[0, 2, 7]","[0, 1, 2, 3, 7]","[0.37268519401550293, 0.0, 0.15509259700775146, 0.0, 0.0, 0.0, 0.0, 0.4722222089767456]","[0.42862653732299805, 0.07137345522642136, 0.08179012686014175, 0.06327160447835922, 0.0, 0.0, 0.0, 0.354938268661499]"
7,0.01565898209810257,0.019286787137389183,0.021554643288254738,0.04430115967988968,0.08769674599170685,1.9795586983587792,-0.6301856637001038,0.05555555555555555,4,5,3.286373985401727,"[1, 3, 5, 6]","[0, 1, 3, 5, 6]","[0.0, 0.13040123879909515, 0.0, 0.7955247163772583, 0.0, 0.05246913433074951, 0.021604938432574272, 0.0]","[0.025462962687015533, 0.08603394776582718, 0.002314814832061529, 0.45023149251937866, 0.0, 0.3885030746459961, 0.047453705221414566, 0.0]"
8,0.01856420747935772,0.020954443141818047,0.0241693202406168,0.05442434549331665,0.08583199977874756,1.5770883232631212,-0.4534091651439667,0.16435185185185186,3,6,4.146198568975602,"[0, 4, 5]","[0, 2, 3, 4, 5, 7]","[0.6311728358268738, 0.0, 0.0, 0.0, 0.11265432089567184, 0.2561728358268738, 0.0, 0.0]","[0.3707561790943146, 0.005787036847323179, 0.23881173133850098, 0.02121913619339466, 0.0763888880610466, 0.27623456716537476, 0.0, 0.010802469216287136]"
9,0.036300454288721085,0.04326071962714195,0.0430680476129055,0.10440026223659515,0.16924987733364105,1.6211633352996917,-0.8262535929679871,0.7160493827160493,4,5,3.594471680982056,"[0, 1, 3, 4]","[0, 1, 3, 4, 6]","[0.02777777798473835, 0.8449074029922485, 0.0, 0.10725308954715729, 0.020061727613210678, 0.0, 0.0, 0.0]","[0.3580246865749359, 0.43942901492118835, 0.005401234608143568, 0.09837962687015533, 0.06172839552164078, 0.0, 0.03703703731298447, 0.0]"
