layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
0,w1,0,1,1,0.984850287437439
0,w1,0,2,0,0.004374504089355469
0,w1,0,3,0,0.9849265813827515
0,w1,0,4,0,0.003658592700958252
0,w1,0,5,0,0.984809398651123
0,w1,0,6,0,0.0038289427757263184
0,w1,0,7,0,0.9848867058753967
0,w1,1,2,0,0.9847419857978821
0,w1,1,3,0,0.003665924072265625
0,w1,1,4,0,0.9847555756568909
0,w1,1,5,0,0.0035663843154907227
0,w1,1,6,0,0.9848626255989075
0,w1,1,7,0,0.0016603469848632812
0,w1,2,3,1,0.9848178029060364
0,w1,2,4,0,0.0037158727645874023
0,w1,2,5,0,0.9847096800804138
0,w1,2,6,0,0.005765795707702637
0,w1,2,7,0,0.9847814440727234
0,w1,3,4,0,0.984826922416687
0,w1,3,5,0,0.005672037601470947
0,w1,3,6,0,0.9849346280097961
0,w1,3,7,0,0.00456547737121582
0,w1,4,5,1,0.9847186207771301
0,w1,4,6,0,0.0038802623748779297
0,w1,4,7,0,0.9847832918167114
0,w1,5,6,0,0.984821081161499
0,w1,5,7,0,0.004440724849700928
0,w1,6,7,1,0.9849004149436951
0,w2,0,1,1,1.0000439882278442
0,w2,0,2,0,0.001284480094909668
0,w2,0,3,0,1.0000662803649902
0,w2,0,4,0,0.0010347962379455566
0,w2,0,5,0,1.0000380277633667
0,w2,0,6,0,0.0010870695114135742
0,w2,0,7,0,1.000040888786316
0,w2,1,2,0,1.0000466108322144
0,w2,1,3,0,0.0010393857955932617
0,w2,1,4,0,1.000045895576477
0,w2,1,5,0,0.0009959936141967773
0,w2,1,6,0,1.0000336170196533
0,w2,1,7,0,0.0003775358200073242
0,w2,2,3,1,1.0000699758529663
0,w2,2,4,0,0.0010652542114257812
0,w2,2,5,0,1.000042200088501
0,w2,2,6,0,0.0017420053482055664
0,w2,2,7,0,1.0000429153442383
0,w2,3,4,0,1.000070333480835
0,w2,3,5,0,0.0017113685607910156
0,w2,3,6,0,1.0000543594360352
0,w2,3,7,0,0.001330554485321045
0,w2,4,5,1,1.00003981590271
0,w2,4,6,0,0.0011179447174072266
0,w2,4,7,0,1.0000405311584473
0,w2,5,6,0,1.000027060508728
0,w2,5,7,0,0.001282334327697754
0,w2,6,7,1,1.00002920627594
0,w3,0,1,1,0.9992172718048096
0,w3,0,2,0,0.0062313079833984375
0,w3,0,3,0,0.9991270303726196
0,w3,0,4,0,0.00521087646484375
0,w3,0,5,0,0.9991683959960938
0,w3,0,6,0,0.005298912525177002
0,w3,0,7,0,0.9992361068725586
0,w3,1,2,0,0.9991903901100159
0,w3,1,3,0,0.005272269248962402
0,w3,1,4,0,0.999283492565155
0,w3,1,5,0,0.005084514617919922
0,w3,1,6,0,0.9991840124130249
0,w3,1,7,0,0.00248873233795166
0,w3,2,3,1,0.9990949630737305
0,w3,2,4,0,0.005400657653808594
0,w3,2,5,0,0.9991491436958313
0,w3,2,6,0,0.008216619491577148
0,w3,2,7,0,0.9992085695266724
0,w3,3,4,0,0.9991832375526428
0,w3,3,5,0,0.007990062236785889
0,w3,3,6,0,0.9990717768669128
0,w3,3,7,0,0.006539344787597656
0,w3,4,5,1,0.999233067035675
0,w3,4,6,0,0.005549192428588867
0,w3,4,7,0,0.9993039965629578
0,w3,5,6,0,0.9991397261619568
0,w3,5,7,0,0.006297707557678223
0,w3,6,7,1,0.9992043972015381
1,w1,0,1,1,0.9883130192756653
1,w1,0,2,0,0.0003782510757446289
1,w1,0,3,0,0.9881937503814697
1,w1,0,4,0,0.003608107566833496
1,w1,0,5,0,0.9881318807601929
1,w1,0,6,0,0.0033949613571166992
1,w1,0,7,0,0.9882581830024719
1,w1,1,2,0,0.9883300065994263
1,w1,1,3,0,0.003849327564239502
1,w1,1,4,0,0.9883530735969543
1,w1,1,5,0,0.0035184621810913086
1,w1,1,6,0,0.9883991479873657
1,w1,1,7,0,0.003924727439880371
1,w1,2,3,1,0.9882083535194397
1,w1,2,4,0,0.003520965576171875
1,w1,2,5,0,0.9881477355957031
1,w1,2,6,0,0.0032951831817626953
1,w1,2,7,0,0.9882771968841553
1,w1,3,4,0,0.9882372617721558
1,w1,3,5,0,0.0009427070617675781
1,w1,3,6,0,0.9882838726043701
1,w1,3,7,0,0.00379788875579834
1,w1,4,5,1,0.988173246383667
1,w1,4,6,0,0.005539834499359131
1,w1,4,7,0,0.9883020520210266
1,w1,5,6,0,0.988219141960144
1,w1,5,7,0,0.0034723281860351562
1,w1,6,7,1,0.9883490800857544
1,w2,0,1,1,1.0002268552780151
1,w2,0,2,0,-5.2809715270996094e-05
1,w2,0,3,0,1.000227928161621
1,w2,0,4,0,0.0009821653366088867
1,w2,0,5,0,1.0002261400222778
1,w2,0,6,0,0.0009037256240844727
1,w2,0,7,0,1.0002124309539795
1,w2,1,2,0,1.0002270936965942
1,w2,1,3,0,0.0010772347450256348
1,w2,1,4,0,1.0002009868621826
1,w2,1,5,0,0.0009684562683105469
1,w2,1,6,0,1.00019109249115
1,w2,1,7,0,0.0010947585105895996
1,w2,2,3,1,1.0002280473709106
1,w2,2,4,0,0.0009555816650390625
1,w2,2,5,0,1.0002260208129883
1,w2,2,6,0,0.0008699893951416016
1,w2,2,7,0,1.0002120733261108
1,w2,3,4,0,1.0002031326293945
1,w2,3,5,0,0.00013780593872070312
1,w2,3,6,0,1.0001940727233887
1,w2,3,7,0,0.001067042350769043
1,w2,4,5,1,1.0002007484436035
1,w2,4,6,0,0.0015877485275268555
1,w2,4,7,0,1.0001877546310425
1,w2,5,6,0,1.0001918077468872
1,w2,5,7,0,0.0009633302688598633
1,w2,6,7,1,1.000178337097168
1,w3,0,1,1,0.9996424317359924
1,w3,0,2,0,0.0005715489387512207
1,w3,0,3,0,0.9996627569198608
1,w3,0,4,0,0.0047705769538879395
1,w3,0,5,0,0.9996867179870605
1,w3,0,6,0,0.004402875900268555
1,w3,0,7,0,0.9997135400772095
1,w3,1,2,0,0.9996207356452942
1,w3,1,3,0,0.005061924457550049
1,w3,1,4,0,0.9996042251586914
1,w3,1,5,0,0.004619002342224121
1,w3,1,6,0,0.9996889233589172
1,w3,1,7,0,0.005142569541931152
1,w3,2,3,1,0.9996435642242432
1,w3,2,4,0,0.0046427249908447266
1,w3,2,5,0,0.9996663331985474
1,w3,2,6,0,0.004255950450897217
1,w3,2,7,0,0.999694287776947
1,w3,3,4,0,0.9996286034584045
1,w3,3,5,0,0.0013301968574523926
1,w3,3,6,0,0.9997129440307617
1,w3,3,7,0,0.0050089359283447266
1,w3,4,5,1,0.9996538162231445
1,w3,4,6,0,0.0071662068367004395
1,w3,4,7,0,0.9996697306632996
1,w3,5,6,0,0.9997348189353943
1,w3,5,7,0,0.004564046859741211
1,w3,6,7,1,0.9997649192810059
2,w1,0,1,1,0.9918285608291626
2,w1,0,2,0,5.370378494262695e-05
2,w1,0,3,0,0.9919001460075378
2,w1,0,4,0,0.0004793405532836914
2,w1,0,5,0,0.9918622970581055
2,w1,0,6,0,0.0030132532119750977
2,w1,0,7,0,0.9918287992477417
2,w1,1,2,0,0.9918301105499268
2,w1,1,3,0,0.003364086151123047
2,w1,1,4,0,0.9918184280395508
2,w1,1,5,0,0.003338754177093506
2,w1,1,6,0,0.9918117523193359
2,w1,1,7,0,0.0003255009651184082
2,w1,2,3,1,0.9919015169143677
2,w1,2,4,0,0.0005350708961486816
2,w1,2,5,0,0.9918670654296875
2,w1,2,6,0,0.003061652183532715
2,w1,2,7,0,0.991830587387085
2,w1,3,4,0,0.9918868541717529
2,w1,3,5,0,0.0028162002563476562
2,w1,3,6,0,0.9918766617774963
2,w1,3,7,0,0.003192424774169922
2,w1,4,5,1,0.9918521642684937
2,w1,4,6,0,0.0034709572792053223
