layer,entropy,length,top1,top2_a,top2_b,top2_same_pair,logits_json
0,0.0,1.0,0,0,6,0,"[0.0036638607271015644, -0.21344174444675446, -0.14992716908454895, -0.05503426492214203, -0.20154260098934174, -0.04808780550956726, -0.016631437465548515, -0.2026177942752838]"
0,0.0,2.0,0,0,6,0,"[-0.0004456806927919388, -0.15041235089302063, -0.1653323471546173, -0.0635228231549263, -0.14861702919006348, -0.059056513011455536, -0.039511505514383316, -0.15654225647449493]"
0,0.0,3.0,0,0,6,0,"[-0.004555222112685442, -0.0873829573392868, -0.18073749542236328, -0.07201138138771057, -0.09569144248962402, -0.07002522051334381, -0.062391575425863266, -0.11046671867370605]"
0,0.0,4.0,0,0,1,1,"[-0.00866476260125637, -0.02435356378555298, -0.19614267349243164, -0.08049994707107544, -0.042765870690345764, -0.08099392801523209, -0.08527164161205292, -0.06439116597175598]"
0,0.0,5.0,1,1,4,0,"[-0.012774303555488586, 0.03867584466934204, -0.2115478515625, -0.08898850530385971, 0.010159701108932495, -0.09196263551712036, -0.10815171897411346, -0.018315613269805908]"
0,0.0,6.0,1,1,4,0,"[-0.01688384637236595, 0.10170522332191467, -0.22695299983024597, -0.09747706353664398, 0.06308528780937195, -0.10293134301900864, -0.13103178143501282, 0.027759909629821777]"
0,0.0,7.0,1,1,4,0,"[-0.020993387326598167, 0.1647346019744873, -0.24235817790031433, -0.10596562922000885, 0.11601084470748901, -0.11390005052089691, -0.15391185879707336, 0.07383546233177185]"
0,0.0,8.0,1,1,4,0,"[-0.025102928280830383, 0.22776401042938232, -0.2577633559703827, -0.11445418745279312, 0.16893644630908966, -0.12486875802278519, -0.17679192125797272, 0.11991101503372192]"
0,0.0,9.0,1,1,4,0,"[-0.029212472960352898, 0.29079341888427734, -0.27316850423812866, -0.12294274568557739, 0.2218620330095291, -0.13583746552467346, -0.19967198371887207, 0.165986567735672]"
0,0.0,10.0,1,1,4,0,"[-0.033322013914585114, 0.35382282733917236, -0.288573682308197, -0.13143131136894226, 0.2747875452041626, -0.14680616557598114, -0.22255206108093262, 0.21206212043762207]"
0,0.0,11.0,1,1,4,0,"[-0.03743155673146248, 0.4168521761894226, -0.3039788603782654, -0.13991987705230713, 0.32771313190460205, -0.15777486562728882, -0.24543213844299316, 0.25813764333724976]"
0,0.0,12.0,1,1,4,0,"[-0.041541099548339844, 0.4798815846443176, -0.31938400864601135, -0.148408442735672, 0.3806387186050415, -0.1687435656785965, -0.26831215620040894, 0.30421316623687744]"
0,0.0,13.0,1,1,4,0,"[-0.04565063863992691, 0.5429109930992126, -0.3347891867160797, -0.15689700841903687, 0.43356430530548096, -0.17971228063106537, -0.2911922335624695, 0.3502887487411499]"
0,0.0,14.0,1,1,4,0,"[-0.049760181456804276, 0.6059403419494629, -0.35019436478614807, -0.16538555920124054, 0.48648983240127563, -0.19068098068237305, -0.31407231092453003, 0.3963642716407776]"
0,0.0,15.0,1,1,4,0,"[-0.05386972054839134, 0.6689697504043579, -0.36559951305389404, -0.1738741248846054, 0.5394154191017151, -0.20164969563484192, -0.3369523584842682, 0.44243985414505005]"
0,0.0,16.0,1,1,4,0,"[-0.05797926336526871, 0.7319991588592529, -0.3810046911239624, -0.18236269056797028, 0.5923410058021545, -0.2126183956861496, -0.35983243584632874, 0.48851537704467773]"
0,0.05000000074505806,1.0,0,0,6,0,"[0.0034583837259560823, -0.21029026806354523, -0.15069743990898132, -0.05545869469642639, -0.19889631867408752, -0.048636242747306824, -0.017775440588593483, -0.2003140151500702]"
0,0.05000000074505806,2.0,0,0,6,0,"[-0.0006511579267680645, -0.1472608745098114, -0.1661025881767273, -0.06394725292921066, -0.14597073197364807, -0.0596049502491951, -0.040655508637428284, -0.1542384773492813]"
0,0.05000000074505806,3.0,0,0,6,0,"[-0.004760699812322855, -0.08423148095607758, -0.18150776624679565, -0.07243581116199493, -0.09304516017436981, -0.07057365775108337, -0.06353557109832764, -0.10816293954849243]"
0,0.05000000074505806,4.0,0,0,1,1,"[-0.008870240300893784, -0.02120208740234375, -0.196912944316864, -0.0809243768453598, -0.04011958837509155, -0.08154236525297165, -0.08641564846038818, -0.06208738684654236]"
0,0.05000000074505806,5.0,1,1,4,0,"[-0.012979781255126, 0.04182732105255127, -0.21231809258460999, -0.08941293507814407, 0.012805983424186707, -0.09251107275485992, -0.10929571092128754, -0.016011834144592285]"
0,0.05000000074505806,6.0,1,1,4,0,"[-0.017089324072003365, 0.1048566997051239, -0.22772327065467834, -0.09790149331092834, 0.06573157012462616, -0.1034797802567482, -0.13217578828334808, 0.0300636887550354]"
0,0.05000000074505806,7.0,1,1,4,0,"[-0.02119886502623558, 0.16788607835769653, -0.2431284487247467, -0.10639005154371262, 0.11865712702274323, -0.11444848030805588, -0.15505586564540863, 0.07613924145698547]"
0,0.05000000074505806,8.0,1,1,4,0,"[-0.025308405980467796, 0.23091548681259155, -0.2585335969924927, -0.11487861722707748, 0.17158271372318268, -0.12541718780994415, -0.17793592810630798, 0.12221479415893555]"
0,0.05000000074505806,9.0,1,1,4,0,"[-0.02941794879734516, 0.2939448952674866, -0.27393877506256104, -0.12336717545986176, 0.22450830042362213, -0.13638588786125183, -0.20081599056720734, 0.16829034686088562]"
0,0.05000000074505806,10.0,1,1,4,0,"[-0.03352748975157738, 0.3569743037223816, -0.289343923330307, -0.13185574114322662, 0.2774338722229004, -0.1473546028137207, -0.22369606792926788, 0.2143658995628357]"
0,0.05000000074505806,11.0,1,1,4,0,"[-0.03763703256845474, 0.42000365257263184, -0.30474910140037537, -0.1403443068265915, 0.33035945892333984, -0.15832330286502838, -0.24657614529132843, 0.2604414224624634]"
0,0.05000000074505806,12.0,1,1,4,0,"[-0.04174657538533211, 0.48303306102752686, -0.3201542794704437, -0.14883287250995636, 0.3832850456237793, -0.16929200291633606, -0.2694561779499054, 0.30651694536209106]"
0,0.05000000074505806,13.0,1,1,4,0,"[-0.045856114476919174, 0.5460624694824219, -0.3355594277381897, -0.15732143819332123, 0.43621063232421875, -0.18026071786880493, -0.29233625531196594, 0.3525925278663635]"
0,0.05000000074505806,14.0,1,1,4,0,"[-0.04996565729379654, 0.6090918183326721, -0.35096460580825806, -0.1658099889755249, 0.48913609981536865, -0.1912294179201126, -0.3152163326740265, 0.3986680507659912]"
0,0.05000000074505806,15.0,1,1,4,0,"[-0.054075196385383606, 0.6721212267875671, -0.3663697838783264, -0.17429853975772858, 0.5420616865158081, -0.20219813287258148, -0.33809638023376465, 0.44474363327026367]"
0,0.05000000074505806,16.0,1,1,4,0,"[-0.05818473920226097, 0.7351506352424622, -0.3817749321460724, -0.18278710544109344, 0.5949872732162476, -0.21316683292388916, -0.3609764575958252, 0.49081915616989136]"
0,0.10000000149011612,1.0,0,0,6,0,"[0.0032529064919799566, -0.2071388065814972, -0.1514676809310913, -0.05588311702013016, -0.1962500363588333, -0.04918467998504639, -0.01891944371163845, -0.19801023602485657]"
0,0.10000000149011612,2.0,0,0,6,0,"[-0.0008566346950829029, -0.14410941302776337, -0.16687285900115967, -0.06437168270349503, -0.14332446455955505, -0.06015338748693466, -0.04179951176047325, -0.1519346982240677]"
0,0.10000000149011612,3.0,0,0,6,0,"[-0.004966176580637693, -0.08108001947402954, -0.18227803707122803, -0.0728602409362793, -0.0903988853096962, -0.07112209498882294, -0.0646795779466629, -0.10585916042327881]"
0,0.10000000149011612,4.0,0,0,1,1,"[-0.009075718000531197, -0.018050625920295715, -0.197683185338974, -0.08134879916906357, -0.03747331351041794, -0.08209080249071121, -0.08755965530872345, -0.059783607721328735]"
0,0.10000000149011612,5.0,1,1,4,0,"[-0.013185258954763412, 0.044978782534599304, -0.21308836340904236, -0.08983736485242844, 0.015452250838279724, -0.09305950999259949, -0.1104397177696228, -0.013708055019378662]"
0,0.10000000149011612,6.0,1,1,4,0,"[-0.017294801771640778, 0.10800816118717194, -0.22849354147911072, -0.09832592308521271, 0.06837783753871918, -0.10402821004390717, -0.13331978023052216, 0.03236746788024902]"
0,0.10000000149011612,7.0,1,1,4,0,"[-0.021404342725872993, 0.17103755474090576, -0.2438986897468567, -0.10681448131799698, 0.12130339443683624, -0.11499691754579544, -0.1561998575925827, 0.0784430205821991]"
0,0.10000000149011612,8.0,1,1,4,0,"[-0.02551388368010521, 0.23406696319580078, -0.25930386781692505, -0.11530304700136185, 0.1742289811372757, -0.12596562504768372, -0.17907992005348206, 0.12451857328414917]"
0,0.10000000149011612,9.0,1,1,4,0,"[-0.029623424634337425, 0.2970963716506958, -0.274709016084671, -0.12379160523414612, 0.22715456783771515, -0.1369343250989914, -0.2019599825143814, 0.17059412598609924]"
0,0.10000000149011612,10.0,1,1,4,0,"[-0.03373296558856964, 0.3601257801055908, -0.2901141941547394, -0.132280170917511, 0.2800801396369934, -0.14790304005146027, -0.22484005987644196, 0.21666967868804932]"
0,0.10000000149011612,11.0,1,1,4,0,"[-0.037842508405447006, 0.42315512895584106, -0.30551937222480774, -0.14076873660087585, 0.33300572633743286, -0.15887174010276794, -0.2477201372385025, 0.262745201587677]"
0,0.10000000149011612,12.0,1,1,4,0,"[-0.04195205122232437, 0.4861845374107361, -0.3209245502948761, -0.14925728738307953, 0.3859313130378723, -0.16984044015407562, -0.27060016989707947, 0.3088207244873047]"
0,0.10000000149011612,13.0,1,1,4,0,"[-0.04606159031391144, 0.5492139458656311, -0.33632969856262207, -0.1577458530664444, 0.43885689973831177, -0.1808091551065445, -0.29348024725914, 0.35489630699157715]"
0,0.10000000149011612,14.0,1,1,4,0,"[-0.0501711331307888, 0.6122432947158813, -0.35173487663269043, -0.16623441874980927, 0.49178242683410645, -0.19177785515785217, -0.31636032462120056, 0.40097182989120483]"
0,0.10000000149011612,15.0,1,1,4,0,"[-0.05428067222237587, 0.6752727031707764, -0.3671400249004364, -0.17472296953201294, 0.5447080135345459, -0.20274657011032104, -0.3392403721809387, 0.4470474123954773]"
0,0.10000000149011612,16.0,1,1,4,0,"[-0.058390215039253235, 0.7383021116256714, -0.38254520297050476, -0.1832115352153778, 0.5976336002349854, -0.21371527016162872, -0.36212044954299927, 0.493122935295105]"
0,0.15000000596046448,1.0,0,0,6,0,"[0.0030474294908344746, -0.20398733019828796, -0.15223795175552368, -0.05630754679441452, -0.1936037540435791, -0.04973311722278595, -0.020063448697328568, -0.19570647180080414]"
0,0.15000000596046448,2.0,0,0,6,0,"[-0.0010621119290590286, -0.14095793664455414, -0.16764311492443085, -0.06479610502719879, -0.14067818224430084, -0.060701824724674225, -0.04294351488351822, -0.14963093400001526]"
0,0.15000000596046448,3.0,0,0,6,0,"[-0.005171653348952532, -0.07792854309082031, -0.183048278093338, -0.07328467071056366, -0.08775260299444199, -0.0716705247759819, -0.06582358479499817, -0.10355538874864578]"
0,0.15000000596046448,4.0,0,0,1,1,"[-0.00928119383752346, -0.014899149537086487, -0.19845345616340637, -0.08177322894334793, -0.03482703119516373, -0.08263923972845078, -0.08870364725589752, -0.05747983604669571]"
0,0.15000000596046448,5.0,1,1,4,0,"[-0.013390734791755676, 0.04813025891780853, -0.21385860443115234, -0.0902617946267128, 0.01809854805469513, -0.09360793977975845, -0.11158372461795807, -0.011404283344745636]"
0,0.15000000596046448,6.0,1,1,4,0,"[-0.01750027760863304, 0.11115963757038116, -0.2292637825012207, -0.09875034540891647, 0.07102413475513458, -0.10457664728164673, -0.13446378707885742, 0.034671247005462646]"
0,0.15000000596046448,7.0,1,1,4,0,"[-0.021609818562865257, 0.174189031124115, -0.24466896057128906, -0.10723891109228134, 0.12394969165325165, -0.115545354783535, -0.15734386444091797, 0.08074679970741272]"
