layer,feature_slope_std,length_slope_std,feature_bias_std,length_bias_std,combined_same_pair_fraction,active_top1_count,active_top2_count,top2_effective_experts,top1_fraction_by_expert,top2_fraction_by_expert
0,0.032810792326927185,0.032810792326927185,0.05695297196507454,0.05695297196507454,0.06944444444444445,2,4,2.7175387000137694,"[0.10802469402551651, 0.8919752836227417, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.06481481343507767, 0.46990740299224854, 0.0, 0.0, 0.43518519401550293, 0.0, 0.030092593282461166, 0.0]"
1,0.03781266137957573,0.03781266137957573,0.06621932238340378,0.06621932238340378,0.16280864197530864,2,4,2.9299779520527585,"[0.8109567761421204, 0.18904320895671844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.47106480598449707, 0.11033950746059418, 0.39081791043281555, 0.0, 0.0, 0.0, 0.0243055559694767, 0.0034722222480922937]"
2,0.034678976982831955,0.034678976982831955,0.0665396973490715,0.0665396973490715,0.0,2,4,3.134866102969663,"[0.0, 0.0, 0.0, 0.34182098507881165, 0.0, 0.0, 0.0, 0.658178985118866]","[0.3256172835826874, 0.0, 0.0, 0.17438271641731262, 0.0, 0.0, 0.0347222238779068, 0.4652777910232544]"
3,0.024808619171380997,0.024808619171380997,0.03398307040333748,0.03398307040333748,0.0,3,3,2.3069107053589275,"[0.9328703880310059, 0.0, 0.0, 0.0, 0.013117283582687378, 0.0, 0.054012347012758255, 0.0]","[0.4722222089767456, 0.0, 0.0, 0.02739197574555874, 0.0069444444961845875, 0.0, 0.4934413433074951, 0.0]"
4,0.031287673860788345,0.031287673860788345,0.049242980778217316,0.049242980778217316,0.0015432098765432098,2,4,2.634769367133552,"[0.9282407164573669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07175926119089127, 0.0]","[0.46643519401550293, 0.0, 0.032793208956718445, 0.0, 0.45601850748062134, 0.0, 0.04398148134350777, 0.0007716049440205097]"
5,0.03142887353897095,0.03142887353897095,0.04858813434839249,0.04858813434839249,0.0,2,4,2.568239340487879,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002314814832061529, 0.05092592537403107, 0.9467592835426331]","[0.009259259328246117, 0.0038580247201025486, 0.0, 0.0, 0.46875, 0.018132716417312622, 0.026620371267199516, 0.47337964177131653]"
6,0.029316263273358345,0.029316263273358345,0.04633838310837746,0.04633838310837746,0.0,2,4,2.5486138419015725,"[0.047067902982234955, 0.0, 0.9467592835426331, 0.0, 0.0, 0.0, 0.006172839552164078, 0.0]","[0.03125, 0.46759259700775146, 0.47337964177131653, 0.02121913619339466, 0.0011574074160307646, 0.0, 0.005401234608143568, 0.0]"
7,0.010436970740556717,0.010436970740556717,0.02762843668460846,0.02762843668460846,0.14969135802469136,2,4,3.011507888835277,"[0.0, 0.8263888955116272, 0.0, 0.1736111044883728, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.422839492559433, 0.07484567910432816, 0.43981480598449707, 0.0, 0.0, 0.002314814832061529, 0.06018518656492233]"
8,0.015534941107034683,0.015534941107034683,0.02766934223473072,0.02766934223473072,0.8981481481481481,3,4,2.4340764240133885,"[0.0, 0.0, 0.0, 0.010802469216287136, 0.8858024477958679, 0.10339505970478058, 0.0, 0.0]","[0.0, 0.0, 0.0347222238779068, 0.016203703358769417, 0.44907405972480774, 0.5, 0.0, 0.0]"
9,0.03185883164405823,0.03185883164405823,0.0479557104408741,0.0479557104408741,0.0,2,5,2.5798616454833723,"[0.0, 0.06481481343507767, 0.0, 0.0, 0.9351851940155029, 0.0, 0.0, 0.0]","[0.0, 0.03356481343507767, 0.004629629664123058, 0.46643519401550293, 0.47337964177131653, 0.0, 0.011188271455466747, 0.010802469216287136]"
10,0.02004430629312992,0.02004430629312992,0.042629338800907135,0.042629338800907135,0.0933641975308642,3,4,2.9448166147957244,"[0.0, 0.0, 0.8796296119689941, 0.0, 0.10030864179134369, 0.014660493470728397, 0.005401234608143568, 0.0]","[0.43518519401550293, 0.0, 0.44598764181137085, 0.0, 0.057484567165374756, 0.054012347012758255, 0.007330246735364199, 0.0]"
11,0.02539149299263954,0.02539149299263954,0.03546636179089546,0.03546636179089546,0.0030864197530864196,2,3,2.278985737117628,"[0.0, 0.04475308582186699, 0.0, 0.006172839552164078, 0.0, 0.9444444179534912, 0.0, 0.004629629664123058]","[0.0, 0.4965277910232544, 0.0, 0.025077160447835922, 0.0, 0.47337964177131653, 0.0015432098880410194, 0.0034722222480922937]"
12,0.012385673820972443,0.012385673820972443,0.022975092753767967,0.022975092753767967,0.0,3,4,2.5050131337695185,"[0.8611111044883728, 0.0, 0.0, 0.0, 0.12731482088565826, 0.0, 0.011574073694646358, 0.0]","[0.43981480598449707, 0.0, 0.0, 0.0, 0.5, 0.0, 0.026620371267199516, 0.03356481343507767]"
13,0.02716643176972866,0.02716643176972866,0.04438459128141403,0.04438459128141403,0.0,2,4,2.6119659744086423,"[0.0, 0.0, 0.0, 0.0, 0.07407407462596893, 0.0, 0.9259259104728699, 0.0]","[0.0, 0.0, 0.03703703731298447, 0.4618055522441864, 0.0381944440305233, 0.0, 0.46296295523643494, 0.0]"
14,0.0162075012922287,0.0162075012922287,0.033974915742874146,0.033974915742874146,0.0,2,4,3.21395305922907,"[0.0, 0.0, 0.1388888955116272, 0.0, 0.0, 0.0, 0.8611111044883728, 0.0]","[0.0, 0.0, 0.12268518656492233, 0.0, 0.06635802239179611, 0.37731480598449707, 0.4336419701576233, 0.0]"
15,0.022957317531108856,0.022957317531108856,0.04330978915095329,0.04330978915095329,0.0,2,4,2.8703048046741113,"[0.0, 0.0, 0.8888888955116272, 0.0, 0.0, 0.002314814832061529, 0.0, 0.10879629850387573]","[0.0, 0.4274691343307495, 0.45370370149612427, 0.0, 0.0, 0.046296294778585434, 0.0, 0.07253086566925049]"
16,0.024084962904453278,0.024084962904453278,0.03460388258099556,0.03460388258099556,0.0,2,3,2.2409179130532855,"[0.0, 0.06481481343507767, 0.0, 0.0, 0.0, 0.9328703880310059, 0.0, 0.002314814832061529]","[0.0, 0.5, 0.0, 0.0, 0.0, 0.46990740299224854, 0.0, 0.030092593282461166]"
