layer,base_key,expert,entropy_slope,bias,slope_rank_low_to_high
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0,-0.004109541419893503,0.003886701073497534,4
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,1,0.06302939355373383,-0.13823556900024414,7
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,2,-0.015405166894197464,-0.06726100295782089,1
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,3,-0.008488561026751995,-0.02327285148203373,3
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,4,0.05292557552456856,-0.12723408639431,6
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,5,-0.0109687065705657,-0.018559550866484642,2
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,6,-0.0228800680488348,0.0031243152916431427,0
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,7,0.046075545251369476,-0.12434667348861694,5
0,model.global_transformer.layers.0.feed_forward.patch_length_router,0,-0.004109541419893503,0.003886701073497534,4
0,model.global_transformer.layers.0.feed_forward.patch_length_router,1,0.06302939355373383,-0.13823556900024414,7
0,model.global_transformer.layers.0.feed_forward.patch_length_router,2,-0.015405166894197464,-0.06726100295782089,1
0,model.global_transformer.layers.0.feed_forward.patch_length_router,3,-0.008488561026751995,-0.02327285148203373,3
0,model.global_transformer.layers.0.feed_forward.patch_length_router,4,0.05292557552456856,-0.12723408639431,6
0,model.global_transformer.layers.0.feed_forward.patch_length_router,5,-0.0109687065705657,-0.018559550866484642,2
0,model.global_transformer.layers.0.feed_forward.patch_length_router,6,-0.0228800680488348,0.0031243152916431427,0
0,model.global_transformer.layers.0.feed_forward.patch_length_router,7,0.046075545251369476,-0.12434667348861694,5
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,0,0.08218049257993698,-0.15120148658752441,7
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,1,0.023772669956088066,0.010616328567266464,3
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,2,0.07237321138381958,-0.13542255759239197,6
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,3,0.06118103489279747,-0.12591159343719482,4
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,4,-0.008588103577494621,-0.018707171082496643,1
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,5,0.07152301073074341,-0.1344071328639984,5
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,6,-0.017870260402560234,0.006722609978169203,0
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,7,0.003640210721641779,-0.025944272056221962,2
1,model.global_transformer.layers.1.feed_forward.patch_length_router,0,0.08218049257993698,-0.15120148658752441,7
1,model.global_transformer.layers.1.feed_forward.patch_length_router,1,0.023772669956088066,0.010616328567266464,3
1,model.global_transformer.layers.1.feed_forward.patch_length_router,2,0.07237321138381958,-0.13542255759239197,6
1,model.global_transformer.layers.1.feed_forward.patch_length_router,3,0.06118103489279747,-0.12591159343719482,4
1,model.global_transformer.layers.1.feed_forward.patch_length_router,4,-0.008588103577494621,-0.018707171082496643,1
1,model.global_transformer.layers.1.feed_forward.patch_length_router,5,0.07152301073074341,-0.1344071328639984,5
1,model.global_transformer.layers.1.feed_forward.patch_length_router,6,-0.017870260402560234,0.006722609978169203,0
1,model.global_transformer.layers.1.feed_forward.patch_length_router,7,0.003640210721641779,-0.025944272056221962,2
10,model.global_transformer.layers.10.feed_forward.patch_feature_router,0,0.02975994348526001,-0.10231005400419235,6
10,model.global_transformer.layers.10.feed_forward.patch_feature_router,1,-0.017262917011976242,-0.007248156704008579,1
10,model.global_transformer.layers.10.feed_forward.patch_feature_router,2,0.031766537576913834,-0.10419156402349472,7
10,model.global_transformer.layers.10.feed_forward.patch_feature_router,3,0.004924106411635876,-0.08032680302858353,5
10,model.global_transformer.layers.10.feed_forward.patch_feature_router,4,-0.01019646879285574,-0.01122295018285513,4
