layer,base_key,slope_std,bias_std,top2_same_pair_fraction_on_entropy_grid,top1_fraction_by_expert,top2_fraction_by_expert
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.032810792326927185,0.05695297196507454,0.16209476309226933,"[0.528678297996521, 0.471321702003479, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.28678303956985474, 0.2942643463611603, 0.0, 0.0, 0.21321696043014526, 0.0, 0.20573565363883972, 0.0]"
0,model.global_transformer.layers.0.feed_forward.patch_length_router,0.032810792326927185,0.05695297196507454,0.16209476309226933,"[0.528678297996521, 0.471321702003479, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.28678303956985474, 0.2942643463611603, 0.0, 0.0, 0.21321696043014526, 0.0, 0.20573565363883972, 0.0]"
1,model.global_transformer.layers.1.feed_forward.patch_feature_router,0.03781266137957573,0.06621932238340378,0.3491271820448878,"[0.3067331612110138, 0.6932668089866638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.29925188422203064, 0.3753117322921753, 0.1259351670742035, 0.0, 0.0, 0.0, 0.18952618539333344, 0.009975062683224678]"
1,model.global_transformer.layers.1.feed_forward.patch_length_router,0.03781266137957573,0.06621932238340378,0.3491271820448878,"[0.3067331612110138, 0.6932668089866638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.29925188422203064, 0.3753117322921753, 0.1259351670742035, 0.0, 0.0, 0.0, 0.18952618539333344, 0.009975062683224678]"
10,model.global_transformer.layers.10.feed_forward.patch_feature_router,0.02004430629312992,0.042629338800907135,0.286783042394015,"[0.0, 0.0, 0.4463840425014496, 0.0, 0.28678303956985474, 0.10224439203739166, 0.16458852589130402, 0.0]","[0.21571072936058044, 0.0, 0.2369077354669571, 0.0, 0.16458852589130402, 0.2630922794342041, 0.11970074474811554, 0.0]"
10,model.global_transformer.layers.10.feed_forward.patch_length_router,0.02004430629312992,0.042629338800907135,0.286783042394015,"[0.0, 0.0, 0.4463840425014496, 0.0, 0.28678303956985474, 0.10224439203739166, 0.16458852589130402, 0.0]","[0.21571072936058044, 0.0, 0.2369077354669571, 0.0, 0.16458852589130402, 0.2630922794342041, 0.11970074474811554, 0.0]"
11,model.global_transformer.layers.11.feed_forward.patch_feature_router,0.02539149299263954,0.03546636179089546,0.14962593516209477,"[0.0, 0.18453864753246307, 0.0, 0.05236907675862312, 0.0, 0.6034912467002869, 0.12219451367855072, 0.03740648552775383]","[0.0, 0.41147130727767944, 0.0, 0.11970074474811554, 0.0, 0.3054862916469574, 0.07481297105550766, 0.08852867782115936]"
11,model.global_transformer.layers.11.feed_forward.patch_length_router,0.02539149299263954,0.03546636179089546,0.14962593516209477,"[0.0, 0.18453864753246307, 0.0, 0.05236907675862312, 0.0, 0.6034912467002869, 0.12219451367855072, 0.03740648552775383]","[0.0, 0.41147130727767944, 0.0, 0.11970074474811554, 0.0, 0.3054862916469574, 0.07481297105550766, 0.08852867782115936]"
12,model.global_transformer.layers.12.feed_forward.patch_feature_router,0.012385673820972443,0.022975092753767967,0.0,"[0.40897756814956665, 0.0, 0.0, 0.0, 0.3765586018562317, 0.0, 0.21446384489536285, 0.0]","[0.22443890571594238, 0.04613466188311577, 0.0, 0.0, 0.4538653492927551, 0.0, 0.1945137083530426, 0.08104737848043442]"
12,model.global_transformer.layers.12.feed_forward.patch_length_router,0.012385673820972443,0.022975092753767967,0.0,"[0.40897756814956665, 0.0, 0.0, 0.0, 0.3765586018562317, 0.0, 0.21446384489536285, 0.0]","[0.22443890571594238, 0.04613466188311577, 0.0, 0.0, 0.4538653492927551, 0.0, 0.1945137083530426, 0.08104737848043442]"
13,model.global_transformer.layers.13.feed_forward.patch_feature_router,0.02716643176972866,0.04438459128141403,0.0,"[0.0, 0.0, 0.0, 0.0, 0.44887781143188477, 0.0, 0.5511221885681152, 0.0]","[0.0, 0.0, 0.2231920212507248, 0.27306732535362244, 0.22693267464637756, 0.0, 0.2768079936504364, 0.0]"
13,model.global_transformer.layers.13.feed_forward.patch_length_router,0.02716643176972866,0.04438459128141403,0.0,"[0.0, 0.0, 0.0, 0.0, 0.44887781143188477, 0.0, 0.5511221885681152, 0.0]","[0.0, 0.0, 0.2231920212507248, 0.27306732535362244, 0.22693267464637756, 0.0, 0.2768079936504364, 0.0]"
14,model.global_transformer.layers.14.feed_forward.patch_feature_router,0.0162075012922287,0.033974915742874146,0.0,"[0.0, 0.0, 0.5012468695640564, 0.0, 0.08728179335594177, 0.0, 0.41147130727767944, 0.0]","[0.0, 0.0, 0.4014962613582611, 0.0, 0.2905236780643463, 0.09850373864173889, 0.2094763070344925, 0.0]"
14,model.global_transformer.layers.14.feed_forward.patch_length_router,0.0162075012922287,0.033974915742874146,0.0,"[0.0, 0.0, 0.5012468695640564, 0.0, 0.08728179335594177, 0.0, 0.41147130727767944, 0.0]","[0.0, 0.0, 0.4014962613582611, 0.0, 0.2905236780643463, 0.09850373864173889, 0.2094763070344925, 0.0]"
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,0.022957317531108856,0.04330978915095329,0.0,"[0.0, 0.0, 0.46633416414260864, 0.0, 0.0, 0.06234414130449295, 0.07980050146579742, 0.3915211856365204]","[0.0, 0.19950124621391296, 0.251870334148407, 0.0, 0.0, 0.2481296807527542, 0.053615961223840714, 0.24688279628753662]"
