layer,length_axis_std,entropy_axis_std,bias_std,length_axis_l2,entropy_axis_l2,entropy_to_length_l2_ratio,length_entropy_axis_cosine,same_pair_fraction,active_top1_count,active_top2_count,top2_effective_experts,active_top1_experts,active_top2_experts,top1_fraction_by_expert,top2_fraction_by_expert
0,0.032810792326927185,0.05360576882958412,0.05695297196507454,0.09933201968669891,0.2255537062883377,2.2707049247538915,-0.8468703031539917,0.06790123456790123,2,4,3.2142954539972357,"[0, 1]","[0, 1, 3, 6]","[0.9675925970077515, 0.032407406717538834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4903549253940582, 0.043595679104328156, 0.0, 0.13695988059043884, 0.009645061567425728, 0.0, 0.3194444477558136, 0.0]"
1,0.03781266137957573,0.058759838342666626,0.06621932238340378,0.14772158861160278,0.26612189412117004,1.8015098309081379,-0.9521854519844055,0.12268518518518519,1,3,2.4166153210269163,[1],"[0, 1, 6]","[0.0015432098880410194, 0.9984567761421204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.061342593282461166, 0.5, 0.0, 0.0, 0.0, 0.0, 0.4382716119289398, 0.00038580247201025486]"
2,0.034678976982831955,0.05831488221883774,0.0665396973490715,0.12536677718162537,0.3062727749347687,2.443013865555907,-0.8635213971138,0.0,1,3,2.323204095411714,[3],"[3, 6, 7]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.4556327164173126, 0.04436728358268738]"
3,0.024808619171380997,0.03607068583369255,0.03398307040333748,0.07039637118577957,0.12161857634782791,1.7276256474480816,-0.7340528964996338,0.0,3,3,2.5153175074562713,"[0, 4, 6]","[0, 4, 6]","[0.06481481343507767, 0.0, 0.0, 0.0, 0.015432098880410194, 0.0, 0.9197530746459961, 0.0]","[0.047067902982234955, 0.008873457089066505, 0.0, 0.005401234608143568, 0.4417438209056854, 0.0, 0.4969135820865631, 0.0]"
4,0.031287673860788345,0.04648231342434883,0.049242980778217316,0.09484289586544037,0.17830820381641388,1.8800375314287223,-0.8631695508956909,0.046296296296296294,2,5,2.7844885717556997,"[0, 6]","[0, 2, 4, 6, 7]","[0.07021605223417282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9297839403152466, 0.0]","[0.040123455226421356, 0.0, 0.4367283880710602, 0.0, 0.025077160447835922, 0.0, 0.4749228358268738, 0.023148147389292717]"
5,0.03142887353897095,0.04934099316596985,0.04858813434839249,0.09109633415937424,0.18285222351551056,2.007240194710889,-0.8816064596176147,0.0,4,5,3.7794478015843915,"[1, 5, 6, 7]","[1, 4, 5, 6, 7]","[0.0, 0.34876543283462524, 0.0, 0.0, 0.0, 0.30401235818862915, 0.2538580298423767, 0.09336419403553009]","[0.002700617304071784, 0.25154322385787964, 0.0, 0.0, 0.04128086566925049, 0.2044753134250641, 0.44945988059043884, 0.050540123134851456]"
6,0.029316263273358345,0.04826526716351509,0.04633838310837746,0.08511539548635483,0.17816728353500366,2.0932439133595557,-0.889615535736084,0.0,3,5,3.323695668874787,"[0, 2, 7]","[0, 1, 2, 3, 7]","[0.32098764181137085, 0.0, 0.09413580596446991, 0.0, 0.0, 0.0, 0.0, 0.584876537322998]","[0.4591049253940582, 0.04089506343007088, 0.04976851865649223, 0.07407407462596893, 0.0, 0.0, 0.00038580247201025486, 0.3757716119289398]"
7,0.010436970740556717,0.025949079543352127,0.02762843668460846,0.0304732583463192,0.10828673094511032,3.5535002432120963,-0.395876944065094,0.19675925925925927,2,4,2.9605785364048773,"[3, 5]","[2, 3, 5, 6]","[0.0, 0.0038580247201025486, 0.0, 0.8217592835426331, 0.0, 0.17438271641731262, 0.0, 0.0]","[0.0, 0.0050154319033026695, 0.09837962687015533, 0.4718364179134369, 0.0, 0.3931327164173126, 0.03163580223917961, 0.0]"
8,0.015534941107034683,0.025905722752213478,0.02766934223473072,0.04657764360308647,0.09819085150957108,2.10811118626586,-0.4609338641166687,0.05864197530864197,5,7,3.854663936014016,"[0, 2, 3, 4, 5]","[0, 2, 3, 4, 5, 6, 7]","[0.39429011940956116, 0.0, 0.48842594027519226, 0.013888888992369175, 0.032407406717538834, 0.07098765671253204, 0.0, 0.0]","[0.3256172835826874, 0.004629629664123058, 0.4382716119289398, 0.020061727613210678, 0.019290123134851456, 0.15200617909431458, 0.01774691417813301, 0.022376542910933495]"
9,0.03185883164405823,0.05040011554956436,0.0479557104408741,0.09191586822271347,0.18866534531116486,2.0525873166320534,-0.8642404675483704,0.0,5,6,3.677524491263234,"[1, 2, 3, 4, 7]","[1, 2, 3, 4, 6, 7]","[0.003086419776082039, 0.8101851940155029, 0.04243827238678932, 0.020061727613210678, 0.057098764926195145, 0.0, 0.0, 0.06712962687015533]","[0.006558641791343689, 0.42554011940956116, 0.046682097017765045, 0.046682097017765045, 0.04089506343007088, 0.0, 0.03703703731298447, 0.3966049253940582]"
10,0.02004430629312992,0.040511079132556915,0.042629338800907135,0.056875672191381454,0.1682814210653305,2.9587592476987146,-0.5879392027854919,0.2507716049382716,3,5,3.094466338762456,"[1, 2, 4]","[0, 1, 2, 4, 5]","[0.0, 0.33564814925193787, 0.02391975373029709, 0.0, 0.6327160596847534, 0.007716049440205097, 0.0, 0.0]","[0.010030863806605339, 0.3533950746059418, 0.0173611119389534, 0.0, 0.4791666567325592, 0.13618826866149902, 0.0038580247201025486, 0.0]"
11,0.02539149299263954,0.03742719441652298,0.03546636179089546,0.07263142615556717,0.13483747839927673,1.8564619412879517,-0.6015353202819824,0.09567901234567901,3,5,3.5738555031377865,"[1, 5, 6]","[1, 3, 5, 6, 7]","[0.0, 0.770061731338501, 0.0, 0.002314814832061529, 0.0, 0.09413580596446991, 0.13040123879909515, 0.003086419776082039]","[0.0, 0.45023149251937866, 0.0, 0.33526235818862915, 0.0, 0.050540123134851456, 0.11419752985239029, 0.04976851865649223]"
12,0.012385673820972443,0.024544954299926758,0.022975092753767967,0.042875852435827255,0.0904606431722641,2.109827281163856,-0.22229187190532684,0.6103395061728395,5,7,3.747462661093719,"[0, 2, 4, 5, 6]","[0, 2, 3, 4, 5, 6, 7]","[0.013888888992369175, 0.0, 0.7584876418113708, 0.0, 0.16126543283462524, 0.04475308582186699, 0.021604938432574272, 0.0]","[0.011188271455466747, 0.00424382695928216, 0.4552469253540039, 0.3125, 0.15432098507881165, 0.03163580223917961, 0.018132716417312622, 0.012731481343507767]"
13,0.02716643176972866,0.04495856910943985,0.04438459128141403,0.07837887853384018,0.1635851263999939,2.087107259762154,-0.8791077733039856,0.0,3,5,3.390929865464909,"[2, 4, 6]","[2, 3, 4, 5, 6]","[0.0, 0.0, 0.9197530746459961, 0.0, 0.014660493470728397, 0.0, 0.06558641791343689, 0.0]","[0.0, 0.0, 0.4683642089366913, 0.03125, 0.3260030746459961, 0.1392746865749359, 0.03510802611708641, 0.0]"
14,0.0162075012922287,0.033758364617824554,0.033974915742874146,0.046782486140728,0.13450407981872559,2.875094739816077,-0.42189279198646545,0.0,4,5,4.261864022151861,"[2, 4, 6, 7]","[0, 2, 3, 4, 7]","[0.0, 0.0, 0.3441357910633087, 0.0, 0.20756173133850098, 0.0, 0.016203703358769417, 0.43209877610206604]","[0.0625, 0.0, 0.2750771641731262, 0.06404320895671844, 0.3645833432674408, 0.0, 0.008873457089066505, 0.22492283582687378]"
15,0.022957317531108856,0.04230210557579994,0.04330978915095329,0.06605762988328934,0.16423377394676208,2.4862195969932683,-0.7701681852340698,0.0,4,4,2.4514583114611925,"[2, 5, 6, 7]","[2, 5, 6, 7]","[0.0, 0.0, 0.03086419776082039, 0.0, 0.0, 0.05864197388291359, 0.015432098880410194, 0.895061731338501]","[0.0, 0.006172839552164078, 0.022762345150113106, 0.0, 0.0, 0.47723764181137085, 0.018132716417312622, 0.4756944477558136]"
16,0.024084962904453278,0.035164814442396164,0.03460388258099556,0.06834308058023453,0.12349957227706909,1.8070530509973288,-0.6601375341415405,0.09953703703703703,4,4,3.134678937791576,"[1, 5, 6, 7]","[1, 5, 6, 7]","[0.0, 0.7438271641731262, 0.0, 0.0, 0.0, 0.0763888880610466, 0.1597222238779068, 0.020061727613210678]","[0.0, 0.45023149251937866, 0.0, 0.0, 0.0, 0.047067902982234955, 0.13618826866149902, 0.36651235818862915]"
17,0.024926690384745598,0.0330037921667099,0.03427630662918091,0.07089430838823318,0.116910919547081,1.6490875248666013,-0.6115279197692871,0.0,3,3,2.307712704034942,"[1, 3, 5]","[1, 3, 5]","[0.0, 0.10493826866149902, 0.0, 0.8202160596847534, 0.0, 0.07484567910432816, 0.0, 0.0]","[0.0011574074160307646, 0.49884259700775146, 0.0, 0.4618055522441864, 0.0, 0.0381944440305233, 0.0, 0.0]"
18,0.02235569804906845,0.03948953002691269,0.03883285075426102,0.06341090053319931,0.15238508582115173,2.4031370716990406,-0.5499549508094788,0.0,4,4,3.209310257662046,"[3, 5, 6, 7]","[3, 5, 6, 7]","[0.0, 0.0, 0.0, 0.42206791043281555, 0.0, 0.4020061790943146, 0.0625, 0.11342592537403107]","[0.0, 0.0, 0.0, 0.2669753134250641, 0.0, 0.2395833283662796, 0.03356481343507767, 0.45987653732299805]"
19,0.021901395171880722,0.03807852417230606,0.038309287279844284,0.06258081644773483,0.14931795001029968,2.3860019489359727,-0.4901924133300781,0.0,3,3,2.2191443715879813,"[2, 5, 6]","[2, 5, 6]","[0.0, 0.0, 0.9097222089767456, 0.0, 0.0, 0.025462962687015533, 0.06481481343507767, 0.0]","[0.0, 0.0, 0.5, 0.0, 0.0, 0.026620371267199516, 0.47337964177131653, 0.0]"
20,0.020870517939329147,0.031434111297130585,0.031215952709317207,0.06670892238616943,0.12191785126924515,1.8276093648084775,-0.1191728338599205,0.06635802469135803,1,3,2.2596378262730075,[2],"[2, 3, 4]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.5, 0.033179011195898056, 0.46682098507881165, 0.0, 0.0, 0.0]"
