layer,num_tensors,mean_relative_delta_norm,max_relative_delta_norm,mean_delta_norm
0,24,0.04656745117306802,0.08331349887749447,3.212816079457601
1,24,0.03724643929691562,0.0780962798815328,2.6818090230226517
2,24,0.03539634738278286,0.07673350904493582,2.5954431047042212
3,24,0.05389991767418897,0.08132900896942102,3.8340145647525787
4,24,0.051691498858109954,0.08049979617090373,3.6973926375309625
5,24,0.052131111340445034,0.08000011912232692,3.7265458504358926
6,24,0.05349294018011588,0.08092815687335166,3.7740704168876014
7,24,0.05956978729685347,0.07889372937121605,4.245913008848826
8,24,0.049908677954364246,0.07819124003653495,3.5873669385910034
9,24,0.048556688097601865,0.07899446043764156,3.4981284538904824
10,24,0.04860157982428179,0.07732416146856137,3.5449819515148797
11,24,0.055193238130762635,0.0776842043716542,4.002089122931163
12,24,0.05870405234518423,0.07766820785107306,4.267755746841431
13,24,0.05196924240337544,0.07801431604021325,3.833266720175743
14,24,0.04918840303239457,0.083052721335787,3.6601113379001617
15,24,0.05350713326935824,0.07911967065551744,3.9912375609079995
16,24,0.058580897663961774,0.08552749150492879,4.3727539628744125
17,24,0.04840098828014968,0.08725300343961329,3.679703012108803
18,24,0.054393660822211455,0.08354263427113885,4.115849410494168
19,24,0.05773844981629969,0.09115354810410815,4.375029628475507
20,24,0.05545692892061638,0.08948049161746242,4.243392199277878
21,24,0.057469866604441845,0.09220909657974882,4.4153204162915545
22,24,0.05254773198125298,0.0923075835847571,4.08522189160188
23,24,0.0516288540677444,0.09036474602562103,4.029762148857117
24,24,0.04425816961705457,0.08411202370449078,3.515136480331421
