layer,expert,num_tensors,mean_relative_delta_norm,max_relative_delta_norm,mean_delta_norm
0,0,3,0.06640586113068846,0.0817317753108255,4.490424156188965
0,1,3,0.025950190445405825,0.025953270638395098,1.893640359242757
0,2,3,0.06712248737197415,0.08331349887749447,4.537530422210693
0,3,3,0.035124933609768594,0.039735906928076936,2.465249538421631
0,4,3,0.026514341450577388,0.026829917981181704,1.9299993515014648
0,5,3,0.06666941961885119,0.08210605094907517,4.499276479085286
0,6,3,0.0586211048843673,0.07215950999385289,3.9817446867624917
0,7,3,0.026131270872911245,0.026250612004600604,1.9046636422475178
1,0,3,0.0259495785400418,0.02595277428612324,1.9386169115702312
1,1,3,0.02628592191537985,0.026462351957380944,1.9636061588923137
1,2,3,0.0259495785400418,0.02595277428612324,1.9386169115702312
1,3,3,0.02594973004056147,0.025953732460662775,1.942341725031535
1,4,3,0.03877878436445801,0.04437344559893714,2.7654738426208496
1,5,3,0.02594973004056147,0.025953732460662775,1.942341725031535
1,6,3,0.06467015326371083,0.0780962798815328,4.484885215759277
1,7,3,0.06443803767056974,0.07782056953617425,4.478589693705241
2,0,3,0.025948759616190434,0.02595124339148104,1.9654300610224407
2,1,3,0.025949461348775554,0.025952526884308564,1.9600096543629963
2,2,3,0.025948759616190434,0.02595124339148104,1.9654300610224407
2,3,3,0.025949461348775554,0.025952526884308564,1.9600096543629963
2,4,3,0.025948759616190434,0.02595124339148104,1.9654300610224407
2,5,3,0.0638411667682241,0.07661279240573618,4.492034912109375
2,6,3,0.06363494939914083,0.07673350904493582,4.495190779368083
2,7,3,0.025949461348775554,0.025952526884308564,1.9600096543629963
3,0,3,0.028926262792002517,0.030466238195227643,2.154177109400431
3,1,3,0.06689084708608763,0.08120265815639342,4.711779276529948
3,2,3,0.065152377352111,0.07935760245845574,4.600969632466634
3,3,3,0.06333352607568737,0.07698604798787426,4.463366985321045
3,4,3,0.06687134768875193,0.08132900896942102,4.720677216847737
3,5,3,0.036656818169709345,0.041492838993605834,2.660390933354696
3,6,3,0.06416860316181407,0.07836308738732102,4.5303300221761065
3,7,3,0.039199559067347824,0.04501213887595969,2.8304253419240317
4,0,3,0.026015263796889603,0.02605705347629825,1.9691034158070881
4,1,3,0.05987144177897571,0.07203822036541743,4.244235038757324
4,2,3,0.06428633491273099,0.07731574409392668,4.546611309051514
4,3,3,0.038259560643560786,0.04334738589185824,2.7798149585723877
4,4,3,0.026410413284623634,0.02663971195875097,1.9947491884231567
4,5,3,0.06504439285340491,0.07831427141083334,4.599437713623047
4,6,3,0.06676416573260852,0.0802877346677735,4.718020121256511
4,7,3,0.06688041786208548,0.08049979617090373,4.727169354756673
5,0,3,0.063930829534773,0.07560061342584311,4.5075093905131025
5,1,3,0.06703798478532524,0.07947278034761154,4.7430674235026045
5,2,3,0.06760436774885538,0.08000011912232692,4.760998725891113
5,3,3,0.06341249113846192,0.07514033496136276,4.491530100504558
5,4,3,0.026112458539612308,0.026183563666958412,1.9784438610076904
5,5,3,0.03561979532315138,0.039324168484745625,2.6114816665649414
5,6,3,0.06720553407626419,0.0793725610380089,4.733032862345378
5,7,3,0.026125429577116818,0.026211263302802837,1.9863027731577556
6,0,3,0.06602800612678245,0.07861595864814694,4.615321159362793
6,1,3,0.026724302281049574,0.0270663951672138,1.9995584885279338
6,2,3,0.026499366550108355,0.02675668069980284,1.9878602822621663
6,3,3,0.04237237688070974,0.048303791170438766,3.018352826436361
6,4,3,0.06777708932692751,0.08049982010241513,4.730952103932698
6,5,3,0.06596273458090228,0.07830694475736732,4.592747211456299
6,6,3,0.06440059294566472,0.0765221822365606,4.503559907277425
6,7,3,0.06817905274878248,0.08092815687335166,4.744211355845134
7,0,3,0.06205007486899408,0.0730958555179875,4.4110762278238935
7,1,3,0.035775193299592854,0.03935830410236905,2.6330583095550537
7,2,3,0.06617580326009113,0.07803263238780937,4.6951907475789385
7,3,3,0.06641092014609185,0.07820073623078003,4.7160515785217285
7,4,3,0.04940889257589667,0.05711405895702135,3.5483585198720298
7,5,3,0.06721339087197248,0.07889372937121605,4.769405206044515
7,6,3,0.06664059770920751,0.07833102363225047,4.723545392354329
7,7,3,0.06288342564298126,0.0740443724724582,4.47061808904012
8,0,3,0.028416701747634113,0.02937444696803438,2.140416940053304
8,1,3,0.05909409181656011,0.06920730953572427,4.2100794315338135
8,2,3,0.06519179020235469,0.0761008360531741,4.60824187596639
8,3,3,0.06456866129309281,0.07560916695454142,4.5856278737386065
8,4,3,0.030202146413816133,0.03182149347948684,2.2574778397878013
8,5,3,0.06678655013266173,0.07819124003653495,4.737028121948242
8,6,3,0.04026666387115829,0.045118456051224325,2.926086664199829
8,7,3,0.04474281815763609,0.050991134530228764,3.2339767615000405
9,0,3,0.0300753775738065,0.03160597334468341,2.2483972708384194
9,1,3,0.0669796471413336,0.07799920228813466,4.742124716440837
9,2,3,0.06753875562539027,0.07899446043764156,4.774681091308594
9,3,3,0.026351357700611967,0.026517256350333664,2.010002533594767
9,4,3,0.026277368208859064,0.026424602293170295,2.000178654988607
9,5,3,0.0657906491800636,0.07667311528676533,4.662140528361003
9,6,3,0.06744351882265202,0.07888063427032524,4.768596172332764
9,7,3,0.0379968305280979,0.0420546821933096,2.7789066632588706
10,0,3,0.027686974029057176,0.028338435132748474,2.126976728439331
10,1,3,0.03776745832468926,0.041618858483217926,2.793701410293579
10,2,3,0.02853950558870476,0.02948839354581756,2.1834429502487183
10,3,3,0.033215279083336165,0.03567968269542826,2.4875479539235434
10,4,3,0.06587669986025586,0.07653754065609825,4.731122334798177
10,5,3,0.06267375327767746,0.07278771393371344,4.495467980702718
10,6,3,0.06649323475424684,0.07717431910178106,4.7755082448323565
10,7,3,0.0665597336762868,0.07732416146856137,4.766088008880615
11,0,3,0.06705696739728924,0.0776842043716542,4.818024635314941
11,1,3,0.06375656160343444,0.07382480857199361,4.586339632670085
11,2,3,0.03771709375903301,0.04148892554927732,2.8017595609029136
11,3,3,0.06650270681656469,0.07702508441059777,4.775846640268962
11,4,3,0.0651752940195912,0.07574862444454875,4.685184001922607
11,5,3,0.027668942749954215,0.02830258400133513,2.126619021097819
11,6,3,0.06595658128747177,0.07665036428079186,4.742013454437256
11,7,3,0.04771175741276253,0.05430266330992009,3.480926036834717
12,0,3,0.04106409726373412,0.04581635856886873,3.0438042481740317
12,1,3,0.05918965969698101,0.06837739921546326,4.30421765645345
12,2,3,0.052765035279902846,0.06056971488541187,3.85019580523173
12,3,3,0.06498648478814538,0.07532975747872657,4.7088596026102705
12,4,3,0.06694708232011441,0.07766820785107306,4.83680788675944
12,5,3,0.06677493422769126,0.07731742216183438,4.833813826243083
12,6,3,0.0630800923147813,0.07315081159622112,4.565041859944661
12,7,3,0.054825032870123504,0.06303839730146239,3.999305089314779
13,0,3,0.04728310640699032,0.0537633898448709,3.5118981997172036
13,1,3,0.04688623220264901,0.05302705673046667,3.4590083758036294
13,2,3,0.067331377655743,0.07801431604021325,4.923728148142497
13,3,3,0.029835681643262054,0.031162839291797317,2.294926961263021
13,4,3,0.06719519215203226,0.07784948520807565,4.912410577138265
13,5,3,0.06696460138386671,0.07774866534399877,4.853577295939128
13,6,3,0.027784288533904966,0.028451608189510848,2.170226295789083
13,7,3,0.062473459248555234,0.07220819477868881,4.540357907613118
14,0,3,0.03715447176878853,0.04081151882645485,2.819345156351725
14,1,3,0.03390786482030411,0.03654903574997156,2.590280453364054
14,2,3,0.06844421166988897,0.07946059109129862,5.019911766052246
14,3,3,0.06608586963221277,0.0770809055146524,4.825679779052734
14,4,3,0.07101461365181784,0.083052721335787,5.199800332387288
14,5,3,0.03526519444680145,0.03832642186416283,2.68286140759786
14,6,3,0.04547190434861754,0.05142099131721594,3.3980656464894614
14,7,3,0.03616309392072534,0.03954069594919971,2.7449461619059243
15,0,3,0.04683784349556915,0.053247295490499856,3.512641270955404
15,1,3,0.035538216102926214,0.03884876005647732,2.726069370905558
15,2,3,0.026754091826718136,0.027057757580642473,2.120398759841919
15,3,3,0.051348544500510795,0.05896078896642416,3.8375519116719565
15,4,3,0.06771578499719272,0.07877018210732543,4.983328183492024
15,5,3,0.06813235495030436,0.07911967065551744,5.0296250979105634
15,6,3,0.06742038799395261,0.07834415177394663,4.963620503743489
15,7,3,0.06430984228769192,0.07463218022023228,4.756665388743083
16,0,3,0.04872467642699749,0.05580208717158525,3.6705547173817954
16,1,3,0.06330674795935229,0.07350304818128428,4.7066521644592285
16,2,3,0.05524039192349073,0.06403913081829424,4.133898178736369
16,3,3,0.07260144052486465,0.08552749150492879,5.368274529774983
16,4,3,0.059777940238243336,0.06961108666519686,4.457625071207683
16,5,3,0.030023542408375126,0.031525536890780456,2.358668843905131
16,6,3,0.06880710427483629,0.08043793585112244,5.0883857409159345
16,7,3,0.07016533755553434,0.0818515653666578,5.197972456614177
17,0,3,0.03148278468654819,0.0333529038723512,2.4817829926808677
17,1,3,0.05950240232158599,0.06886436526501238,4.460790634155273
17,2,3,0.061549656536952844,0.07151906424690235,4.607521692911784
17,3,3,0.07252169356444167,0.08607004865343852,5.39213752746582
17,4,3,0.029649817244558983,0.030933968025303658,2.354202310244242
17,5,3,0.030641087151603557,0.032363843146686964,2.4181209405263266
17,6,3,0.02872049428721325,0.02972662574573648,2.289754311243693
17,7,3,0.07313997044829294,0.08725300343961329,5.433313687642415
18,0,3,0.06248723794438608,0.07277088630705679,4.699575583140056
18,1,3,0.05137250187756703,0.05889338787855831,3.8954883416493735
18,2,3,0.07071909981101339,0.08342588175216945,5.281793117523193
18,3,3,0.06473509116668225,0.07534133692660099,4.84629472096761
18,4,3,0.03836134595339335,0.0425052003458363,2.9778359731038413
18,5,3,0.07056886764841104,0.08354263427113885,5.256312529246013
18,6,3,0.027824613672242562,0.028546919044107884,2.2382275660832724
18,7,3,0.04908052850399599,0.056081108828540296,3.7312674522399902
19,0,3,0.07561161347958954,0.09115354810410815,5.642178376515706
19,1,3,0.06408961179354622,0.07495383495772921,4.831803162892659
19,2,3,0.0731915874298266,0.08732714993890155,5.473918755849202
19,3,3,0.05996402502822914,0.06999540842290056,4.542147159576416
19,4,3,0.05004595024439528,0.057405306663663495,3.818705956141154
19,5,3,0.028842436115722736,0.02992053885721779,2.3196367025375366
19,6,3,0.05738944075040239,0.06651580732624664,4.347108840942383
19,7,3,0.0527729336886856,0.061006167812918906,4.024738073348999
20,0,3,0.07456099645119803,0.08948049161746242,5.617509524027507
20,1,3,0.0609292339877039,0.07099590466691236,4.633940855662028
20,2,3,0.07428351402858001,0.08929563685610767,5.595863024393718
20,3,3,0.035449097435089165,0.038641552592657245,2.802809794743856
20,4,3,0.05750427131715961,0.06649309916901618,4.398813724517822
20,5,3,0.05047416198691448,0.05786996095212192,3.881824334462484
20,6,3,0.0534775606071989,0.06160427908637294,4.104823271433513
20,7,3,0.036976595551086934,0.04063232317881352,2.911553064982096
21,0,3,0.03495594592541356,0.037986008792391605,2.787209431330363
21,1,3,0.05264034053612454,0.06054376877234735,4.07196577390035
21,2,3,0.06159547629712389,0.07195786087440667,4.715958118438721
21,3,3,0.07505071349963631,0.09112816155993349,5.678666432698567
21,4,3,0.05810014219298167,0.06745593200648256,4.463831265767415
21,5,3,0.07576549177127867,0.09220909657974882,5.730225404103597
21,6,3,0.05240458730623559,0.06032396898075399,4.050022919972737
21,7,3,0.04924623530674053,0.05630188393825436,3.824683984120687
22,0,3,0.05694644411430847,0.06592751969753811,4.410874048868815
22,1,3,0.0535138117203543,0.06151041468488151,4.161224524180095
22,2,3,0.026347782520631514,0.026501314130736333,2.193694313367208
22,3,3,0.07543702840843436,0.0923075835847571,5.733748435974121
22,4,3,0.05652657647233398,0.06540429546726813,4.379361152648926
22,5,3,0.07417888704544573,0.09020320969115515,5.643459002176921
22,6,3,0.04144571390151658,0.04638117370101225,3.2772960662841797
22,7,3,0.03598561166699893,0.039302490404524895,2.882117589314779
23,0,3,0.047006572186638396,0.05337227570420227,3.6960152784983316
23,1,3,0.07266461889097996,0.08835427844366998,5.557918230692546
23,2,3,0.03720438260124765,0.040809922830536687,2.9811959266662598
23,3,3,0.07387863015821237,0.09036474602562103,5.644487222035726
23,4,3,0.06872485039734809,0.08244404561910125,5.265924294789632
23,5,3,0.04367528817298046,0.049102245922093224,3.455952008565267
23,6,3,0.0341416454371528,0.03685926210374972,2.7594701449076333
23,7,3,0.035734844697395525,0.03893916004092264,2.877134084701538
