layer,expert,router_count,router_frac,router_mean_entropy,router_mean_length,num_tensors,mean_relative_delta_norm,max_relative_delta_norm,mean_delta_norm
0,0,2576,1.0,2.0,8.5,3,0.0664058611306884,0.0817317753108255,4.490424156188965
1,6,1398,0.5427018633540373,2.2021994590759277,4.978540897369385,3,0.0646701532637108,0.0780962798815328,4.484885215759277
1,7,1178,0.45729813664596275,1.760038137435913,12.679117202758789,3,0.0644380376705697,0.0778205695361742,4.478589693705241
2,5,917,0.35597826086956524,1.415212631225586,12.914939880371094,3,0.0638411667682241,0.0766127924057361,4.492034912109375
2,6,1659,0.6440217391304348,2.3232369422912598,6.0596747398376465,3,0.0636349493991408,0.0767335090449358,4.495190779368083
3,4,2576,1.0,2.0,8.5,3,0.0668713476887519,0.081329008969421,4.720677216847737
4,6,2576,1.0,2.0,8.5,3,0.0667641657326085,0.0802877346677735,4.718020121256511
5,1,1,0.00038819875776397513,4.0,1.0,3,0.0670379847853252,0.0794727803476115,4.7430674235026045
5,6,2575,0.999611801242236,1.9992233514785767,8.502912521362305,3,0.0672055340762641,0.0793725610380089,4.733032862345378
6,7,2576,1.0,2.0,8.5,3,0.0681790527487824,0.0809281568733516,4.744211355845134
7,5,2576,1.0,2.0,8.5,3,0.0672133908719724,0.078893729371216,4.769405206044515
8,5,2576,1.0,2.0,8.5,3,0.0667865501326617,0.0781912400365349,4.737028121948242
9,1,2576,1.0,2.0,8.5,3,0.0669796471413336,0.0779992022881346,4.742124716440837
10,6,2496,0.968944099378882,1.9475661516189575,8.717548370361328,3,0.0664932347542468,0.077174319101781,4.7755082448323565
10,7,80,0.031055900621118012,3.635937452316284,1.712499976158142,3,0.0665597336762868,0.0773241614685613,4.766088008880615
11,3,2576,1.0,2.0,8.5,3,0.0665027068165646,0.0770250844105977,4.775846640268962
12,4,632,0.2453416149068323,0.5333861112594604,9.939873695373535,3,0.0669470823201144,0.077668207851073,4.83680788675944
12,5,1944,0.7546583850931677,2.4768004417419434,8.031892776489258,3,0.0667749342276912,0.0773174221618343,4.833813826243083
13,2,2576,1.0,2.0,8.5,3,0.067331377655743,0.0780143160402132,4.923728148142497
14,2,2576,1.0,2.0,8.5,3,0.0684442116698889,0.0794605910912986,5.019911766052246
15,5,2576,1.0,2.0,8.5,3,0.0681323549503043,0.0791196706555174,5.0296250979105634
16,7,2576,1.0,2.0,8.5,3,0.0701653375555343,0.0818515653666578,5.197972456614177
17,3,2576,1.0,2.0,8.5,3,0.0725216935644416,0.0860700486534385,5.39213752746582
18,5,2576,1.0,2.0,8.5,3,0.070568867648411,0.0835426342711388,5.256312529246013
19,2,2576,1.0,2.0,8.5,3,0.0731915874298266,0.0873271499389015,5.473918755849202
20,2,2576,1.0,2.0,8.5,3,0.07428351402858,0.0892956368561076,5.595863024393718
21,5,2576,1.0,2.0,8.5,3,0.0757654917712786,0.0922090965797488,5.730225404103597
22,5,2576,1.0,2.0,8.5,3,0.0741788870454457,0.0902032096911551,5.643459002176921
23,1,2576,1.0,2.0,8.5,3,0.0726646188909799,0.0883542784436699,5.557918230692546
24,2,2008,0.7795031055900621,2.4433889389038086,8.566733360290527,3,0.0696683332714505,0.0841120237044907,5.370745817820231
24,6,568,0.2204968944099379,0.4325264096260071,8.264084815979004,3,0.0696343872504493,0.0841019259899801,5.368005593617757
