label,checkpoint,layer,active_top1,active_top2,top1_eff_num,top2_eff_num,top1_dominant_expert,top1_dominant_frac,top2_dominant_expert,top2_dominant_frac,expert_entropy_length_corr,shortest_experts,longest_experts,shortest_mean_entropy,longest_mean_entropy,shortest_mean_length,longest_mean_length,top1_counts,top2_counts,expert_count,expert_mean_entropy,expert_mean_length
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,0,1,2,1.0,2.0,0,1.0,0,0.5,,0,0,2.0,2.0,8.5,8.5,"[2576, 0, 0, 0, 0, 0, 0, 0]","[2576, 0, 0, 0, 0, 2576, 0, 0]","[2576, 0, 0, 0, 0, 0, 0, 0]","[2.0, None, None, None, None, None, None, None]","[8.5, None, None, None, None, None, None, None]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,1,2,2,1.992710627021247,2.0,6,0.5427018633540373,6,0.5,-1.0,6,7,2.2021994590759277,1.760038137435913,4.978540897369385,12.679117202758789,"[0, 0, 0, 0, 0, 0, 1398, 1178]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 1398, 1178]","[None, None, None, None, None, None, 2.2021994590759277, 1.760038137435913]","[None, None, None, None, None, None, 4.978540897369385, 12.679117202758789]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,2,2,2,1.9175897749202515,2.0,6,0.6440217391304348,5,0.5,-1.0000000000000002,6,5,2.3232369422912598,1.415212631225586,6.0596747398376465,12.914939880371094,"[0, 0, 0, 0, 0, 917, 1659, 0]","[0, 0, 0, 0, 0, 2576, 2576, 0]","[0, 0, 0, 0, 0, 917, 1659, 0]","[None, None, None, None, None, 1.415212631225586, 2.3232369422912598, None]","[None, None, None, None, None, 12.914939880371094, 6.0596747398376465, None]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,3,1,2,1.0,2.0,4,1.0,1,0.5,,4,4,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 2576, 0, 0, 0]","[0, 2576, 0, 0, 2576, 0, 0, 0]","[0, 0, 0, 0, 2576, 0, 0, 0]","[None, None, None, None, 2.0, None, None, None]","[None, None, None, None, 8.5, None, None, None]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,4,1,2,1.0,2.0,6,1.0,6,0.5,,6,6,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 0, 2576, 0]","[0, 0, 0, 0, 0, 0, 2576, 2576]","[0, 0, 0, 0, 0, 0, 2576, 0]","[None, None, None, None, None, None, 2.0, None]","[None, None, None, None, None, None, 8.5, None]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,5,2,2,1.0034429471322315,2.0,6,0.999611801242236,1,0.5,-1.0,1,6,4.0,1.9992233514785767,1.0,8.502912521362305,"[0, 1, 0, 0, 0, 0, 2575, 0]","[0, 2576, 0, 0, 0, 0, 2576, 0]","[0, 1, 0, 0, 0, 0, 2575, 0]","[None, 4.0, None, None, None, None, 1.9992233514785767, None]","[None, 1.0, None, None, None, None, 8.502912521362305, None]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,6,1,2,1.0,2.0,7,1.0,4,0.5,,7,7,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 0, 0, 2576]","[0, 0, 0, 0, 2576, 0, 0, 2576]","[0, 0, 0, 0, 0, 0, 0, 2576]","[None, None, None, None, None, None, None, 2.0]","[None, None, None, None, None, None, None, 8.5]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,7,1,2,1.0,2.0,5,1.0,5,0.5,,5,5,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 2576, 0, 0]","[0, 0, 0, 0, 0, 2576, 2576, 0]","[0, 0, 0, 0, 0, 2576, 0, 0]","[None, None, None, None, None, 2.0, None, None]","[None, None, None, None, None, 8.5, None, None]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,8,1,2,1.0,2.0,5,1.0,2,0.5,,5,5,2.0,2.0,8.5,8.5,"[0, 0, 0, 0, 0, 2576, 0, 0]","[0, 0, 2576, 0, 0, 2576, 0, 0]","[0, 0, 0, 0, 0, 2576, 0, 0]","[None, None, None, None, None, 2.0, None, None]","[None, None, None, None, None, 8.5, None, None]"
phaseB_to_total50k_0000038000,/data1/pengfeigao/BP-MoE/blt1b_warmstart/natural_granularity_A3k_B47k_6gpu_c00000_c00005/phaseB_to_total50k/checkpoints/0000038000,9,1,2,1.0,2.0,1,1.0,1,0.5,,1,1,2.0,2.0,8.5,8.5,"[0, 2576, 0, 0, 0, 0, 0, 0]","[0, 2576, 0, 0, 0, 0, 2576, 0]","[0, 2576, 0, 0, 0, 0, 0, 0]","[None, 2.0, None, None, None, None, None, None]","[None, 8.5, None, None, None, None, None, None]"
