layer,num_tensors,mean_relative_delta_norm,max_relative_delta_norm,mean_delta_norm
0,24,0.04244167578577207,0.07420001213838838,2.9412662982940674
1,24,0.03927986995591245,0.06821406356183604,2.81050277252992
2,24,0.03327296841463837,0.06686883823840344,2.4486421942710876
3,24,0.045613251778921525,0.07044201105328754,3.268343632419904
4,24,0.042668991928941545,0.07093728502400028,3.0884846101204553
5,24,0.04227328265090346,0.06640524109817673,3.0554423481225967
6,24,0.03495274888262259,0.06623073819121313,2.538499524195989
7,24,0.04413912996112853,0.06629784443369845,3.194149156411489
8,24,0.04264855348950516,0.0690710416926968,3.098666027188301
9,24,0.0377359297280652,0.06648818100519718,2.766318360964457
10,24,0.03790452402357308,0.06828991375341384,2.816388597091039
11,24,0.045243959873952556,0.06992778736087266,3.320805867513021
12,24,0.04272783859025877,0.07078468351161869,3.1678533802429834
13,24,0.03553343794674,0.07009161112353417,2.701461508870125
14,24,0.034657066639432146,0.0711390798279202,2.6546496053536734
15,24,0.042518567995545264,0.07450072578085455,3.213227614760399
16,24,0.03818624873969814,0.07410630224638609,2.9349460204442344
17,24,0.03455659801483587,0.07222073539274065,2.6953934778769812
18,24,0.04531878240194811,0.07851818037312774,3.458595057328542
19,24,0.04791797191599203,0.08439109465402393,3.659037192662557
20,24,0.045421926870692464,0.0797403640032687,3.5121693164110184
21,24,0.03945508419897893,0.0818959513418132,3.1105532944202423
22,24,0.040616829867582194,0.08222401538486704,3.2100407828887305
23,24,0.046294383480605654,0.08180872997891427,3.6228401362895966
24,24,0.035352107243138496,0.075783532342394,2.864404241243998
