layer,expert,param,init_norm,final_norm,delta_norm,relative_delta_norm
0,0,w1.weight,61.52294921875,59.88013458251953,3.8546106815338135,0.06265321689680967
0,0,w2.weight,106.22272491455078,103.44097137451172,4.4035515785217285,0.041455833316873164
0,0,w3.weight,51.351253509521484,50.00226974487305,3.6644680500030518,0.07136082957202824
0,1,w1.weight,61.21516799926758,59.63249969482422,1.7144427299499512,0.028006828797242474
0,1,w2.weight,106.32040405273438,103.57162475585938,2.8188188076019287,0.026512491489439623
0,1,w3.weight,51.37648010253906,50.049522399902344,1.4945154190063477,0.02908948639578869
0,2,w1.weight,61.52294921875,59.89173126220703,3.9284117221832275,0.06385278618902625
0,2,w2.weight,106.22272491455078,103.45064544677734,4.47331428527832,0.04211259209248084
0,2,w3.weight,51.351253509521484,50.01963424682617,3.736661911010742,0.07276671270191724
0,3,w1.weight,61.21516799926758,59.63400650024414,1.9319802522659302,0.03156048272691197
0,3,w2.weight,106.32040405273438,103.5716323852539,2.958893060684204,0.02782996440849285
0,3,w3.weight,51.37648010253906,50.05369186401367,1.7503982782363892,0.0340700311648997
0,4,w1.weight,61.52294921875,59.93138885498047,1.7591160535812378,0.0285928434172836
0,4,w2.weight,106.22272491455078,103.47886657714844,2.832563877105713,0.026666270135550545
0,4,w3.weight,51.351253509521484,50.027870178222656,1.5302263498306274,0.029799201484864726
0,5,w1.weight,61.21516799926758,59.68492889404297,2.707143783569336,0.04422341507911375
0,5,w2.weight,106.32040405273438,103.60270690917969,3.510420322418213,0.03301737191176427
0,5,w3.weight,51.37648010253906,50.110137939453125,2.594886541366577,0.050507285360685605
0,6,w1.weight,61.52294921875,59.928470611572266,3.964686155319214,0.06444239435307914
0,6,w2.weight,106.22272491455078,103.47724151611328,4.513002872467041,0.042486227651356276
0,6,w3.weight,51.351253509521484,50.04890823364258,3.8102636337280273,0.07420001213838838
0,7,w1.weight,61.21516799926758,59.63447189331055,1.9299424886703491,0.031527194186470396
0,7,w2.weight,106.32040405273438,103.57164001464844,2.9598395824432373,0.027838866949519345
0,7,w3.weight,51.37648010253906,50.05262756347656,1.7482327222824097,0.034027880438542865
1,0,w1.weight,61.59125518798828,60.10955810546875,3.778043270111084,0.06134057925235835
1,0,w2.weight,108.83306121826172,106.08646392822266,4.431396007537842,0.04071736986843325
1,0,w3.weight,53.69169235229492,52.4299201965332,3.6547553539276123,0.06806928956433482
1,1,w1.weight,61.810813903808594,60.21135711669922,1.5873221158981323,0.0256803302795581
1,1,w2.weight,108.9769058227539,106.15851593017578,2.7983055114746094,0.025677968101112204
1,1,w3.weight,53.75628662109375,52.365970611572266,1.380260705947876,0.02567626584173769
1,2,w1.weight,61.59125518798828,59.99767303466797,1.5817288160324097,0.02568106155986991
1,2,w2.weight,108.83306121826172,106.01848602294922,2.7945046424865723,0.025676982813910235
1,2,w3.weight,53.69169235229492,52.30331802368164,1.3785685300827026,0.025675639371493073
1,3,w1.weight,61.810813903808594,60.21135711669922,1.5873221158981323,0.0256803302795581
1,3,w2.weight,108.9769058227539,106.15851593017578,2.7983055114746094,0.025677968101112204
1,3,w3.weight,53.75628662109375,52.365970611572266,1.380260705947876,0.02567626584173769
1,4,w1.weight,61.59125518798828,60.040584564208984,2.66302490234375,0.04323706172598116
1,4,w2.weight,108.83306121826172,106.04476928710938,3.5210587978363037,0.03235284166798253
1,4,w3.weight,53.69169235229492,52.3516960144043,2.552156925201416,0.047533553393242646
1,5,w1.weight,61.810813903808594,60.21135711669922,1.5873221158981323,0.0256803302795581
1,5,w2.weight,108.9769058227539,106.15851593017578,2.7983055114746094,0.025677968101112204
1,5,w3.weight,53.75628662109375,52.365970611572266,1.380260705947876,0.02567626584173769
1,6,w1.weight,61.59125518798828,60.18834686279297,3.8359014987945557,0.06227996956851405
1,6,w2.weight,108.83306121826172,106.13275909423828,4.413914203643799,0.040556740334554905
1,6,w3.weight,53.69169235229492,52.49650955200195,3.6625285148620605,0.06821406356183604
1,7,w1.weight,61.810813903808594,60.400421142578125,3.8329601287841797,0.06201115770371602
1,7,w2.weight,108.9769058227539,106.27020263671875,4.408432960510254,0.040452909974158506
1,7,w3.weight,53.75628662109375,52.55691909790039,3.6454269886016846,0.06781396591428929
10,0,w1.weight,60.24470901489258,58.68651580810547,1.5471211671829224,0.025680614820472385
10,0,w2.weight,113.9871826171875,111.03886413574219,2.926828384399414,0.02567682012309047
10,0,w3.weight,58.3988037109375,56.88798522949219,1.4996155500411987,0.02567887447599051
10,1,w1.weight,60.15989303588867,58.60345458984375,1.544889211654663,0.025679720054239897
10,1,w2.weight,113.34840393066406,110.41636657714844,2.9105772972106934,0.02567814981312914
10,1,w3.weight,58.301151275634766,56.7928581237793,1.4970519542694092,0.025677914097985092
10,2,w1.weight,60.24470901489258,58.68651580810547,1.5471211671829224,0.025680614820472385
10,2,w2.weight,113.9871826171875,111.03886413574219,2.926828384399414,0.02567682012309047
10,2,w3.weight,58.3988037109375,56.88798522949219,1.4996155500411987,0.02567887447599051
10,3,w1.weight,60.15989303588867,58.60345458984375,1.544889211654663,0.025679720054239897
10,3,w2.weight,113.34840393066406,110.41636657714844,2.9105772972106934,0.02567814981312914
10,3,w3.weight,58.301151275634766,56.7928581237793,1.4970519542694092,0.025677914097985092
10,4,w1.weight,60.24470901489258,58.56111145019531,4.095191478729248,0.06797595250591787
10,4,w2.weight,113.9871826171875,110.90437316894531,4.765446662902832,0.04180686418846741
10,4,w3.weight,58.3988037109375,56.784358978271484,3.9769983291625977,0.06810068145998131
10,5,w1.weight,60.15989303588867,58.959957122802734,3.8853092193603516,0.06458304733092672
10,5,w2.weight,113.34840393066406,110.68472290039062,4.454370498657227,0.03929804341472646
10,5,w3.weight,58.301151275634766,57.136268615722656,3.7820329666137695,0.06487063949617566
10,6,w1.weight,60.24470901489258,58.74031066894531,4.0940165519714355,0.06795644993420619
10,6,w2.weight,113.9871826171875,111.04377746582031,4.747225761413574,0.0416470137467695
10,6,w3.weight,58.3988037109375,56.93973159790039,3.988049268722534,0.06828991375341384
10,7,w1.weight,60.15989303588867,58.60345458984375,1.544889211654663,0.025679720054239897
10,7,w2.weight,113.34840393066406,110.41636657714844,2.9105772972106934,0.02567814981312914
10,7,w3.weight,58.301151275634766,56.7928581237793,1.4970519542694092,0.025677914097985092
11,0,w1.weight,60.058807373046875,58.543434143066406,4.103429317474365,0.0683235231759835
11,0,w2.weight,114.13038635253906,111.17565155029297,4.785991191864014,0.041934416808863256
11,0,w3.weight,58.68587112426758,57.20267105102539,4.021604061126709,0.06852763679030813
11,1,w1.weight,60.071678161621094,58.56398010253906,3.960909843444824,0.06593639406557024
11,1,w2.weight,114.05938720703125,111.11876678466797,4.644138813018799,0.040716848711356814
11,1,w3.weight,58.58509826660156,57.118377685546875,3.8747189044952393,0.06613830170366189
11,2,w1.weight,60.058807373046875,58.507511138916016,1.7445200681686401,0.02904686497240561
11,2,w2.weight,114.13038635253906,111.17915344238281,3.044536828994751,0.02667595305942809
11,2,w3.weight,58.68587112426758,57.17008972167969,1.7176533937454224,0.029268601808913337
11,3,w1.weight,60.071678161621094,58.475555419921875,4.006453037261963,0.06669454158551474
11,3,w2.weight,114.05938720703125,111.04277038574219,4.702646255493164,0.04122980467146702
11,3,w3.weight,58.58509826660156,57.03518295288086,3.926025867462158,0.06701406985093779
11,4,w1.weight,60.058807373046875,58.56965255737305,2.710881471633911,0.045137117938350076
11,4,w2.weight,114.13038635253906,111.21862030029297,3.6654000282287598,0.03211589958967298
11,4,w3.weight,58.68587112426758,57.22966384887695,2.684368133544922,0.045741301647558665
11,5,w1.weight,60.071678161621094,58.51941680908203,1.7251896858215332,0.028718852854084282
11,5,w2.weight,114.05938720703125,111.10968017578125,3.031395435333252,0.026577342817306962
11,5,w3.weight,58.58509826660156,57.07155227661133,1.6942706108093262,0.02891982195027185
11,6,w1.weight,60.058807373046875,58.41730880737305,4.183903217315674,0.06966344155533884
11,6,w2.weight,114.13038635253906,111.07196044921875,4.87813138961792,0.04274174078890563
11,6,w3.weight,58.68587112426758,57.090457916259766,4.10377311706543,0.06992778736087266
11,7,w1.weight,60.071678161621094,58.51866912841797,1.7405619621276855,0.02897475175314273
11,7,w2.weight,114.05938720703125,111.10916900634766,3.038944721221924,0.02664353014369483
11,7,w3.weight,58.58509826660156,57.07137680053711,1.7098934650421143,0.029186491371251455
12,0,w1.weight,60.5587043762207,58.991859436035156,1.5551666021347046,0.025680314963035085
12,0,w2.weight,114.33258056640625,111.37478637695312,2.9359891414642334,0.02567937439109001
12,0,w3.weight,58.968509674072266,57.44289016723633,1.514243721961975,0.02567885351573916
12,1,w1.weight,60.31698989868164,58.843624114990234,2.909820556640625,0.04824213810285279
12,1,w2.weight,115.05714416503906,112.1392822265625,3.841660737991333,0.033389154283899006
12,1,w3.weight,59.22942352294922,57.78207015991211,2.886146068572998,0.04872824851071991
12,2,w1.weight,60.5587043762207,59.04916000366211,2.7613041400909424,0.04559714690948977
12,2,w2.weight,114.33258056640625,111.41667938232422,3.698728322982788,0.03235060649081102
12,2,w3.weight,58.968509674072266,57.50513458251953,2.7359485626220703,0.04639677308692417
12,3,w1.weight,60.31698989868164,58.75695037841797,1.5519064664840698,0.025729176291636603
12,3,w2.weight,115.05714416503906,112.08242797851562,2.9567558765411377,0.025698151105679395
12,3,w3.weight,59.22942352294922,57.696956634521484,1.5242056846618652,0.025733927396258818
12,4,w1.weight,60.5587043762207,58.81180953979492,4.286628723144531,0.07078468351161869
12,4,w2.weight,114.33258056640625,111.205322265625,4.933626651763916,0.04315153762228205
12,4,w3.weight,58.968509674072266,57.28799819946289,4.167656898498535,0.07067597471148117
12,5,w1.weight,60.31698989868164,58.756717681884766,1.553230881690979,0.02575113387289412
12,5,w2.weight,115.05714416503906,112.08206939697266,2.9588944911956787,0.02571673851865632
12,5,w3.weight,59.22942352294922,57.69715881347656,1.5255855321884155,0.02575722405262448
12,6,w1.weight,60.5587043762207,59.03622055053711,4.162272930145264,0.06873120838727148
12,6,w2.weight,114.33258056640625,111.37454986572266,4.812114715576172,0.04208874401099671
12,6,w3.weight,58.968509674072266,57.479976654052734,4.071650505065918,0.06904787873342005
12,7,w1.weight,60.31698989868164,59.129310607910156,4.048563480377197,0.06712144434226185
12,7,w2.weight,115.05714416503906,112.36238861083984,4.647688388824463,0.040394609326976985
12,7,w3.weight,59.22942352294922,58.05631637573242,3.988692045211792,0.06734308402759066
13,0,w1.weight,61.3597297668457,59.77408218383789,1.6396479606628418,0.026721890185845643
13,0,w2.weight,115.6467056274414,112.65731811523438,3.026761531829834,0.02617248381964802
13,0,w3.weight,59.599281311035156,58.06000518798828,1.6053440570831299,0.0269356277755293
13,1,w1.weight,60.21415328979492,58.66489791870117,1.8128974437713623,0.030107497070436785
13,1,w2.weight,115.60450744628906,112.62091064453125,3.152376174926758,0.027268626843043764
13,1,w3.weight,59.45781707763672,57.92879867553711,1.8129879236221313,0.03049200277996755
13,2,w1.weight,61.3597297668457,59.67274475097656,4.296961784362793,0.07002902067349856
13,2,w2.weight,115.6467056274414,112.5299301147461,4.939935684204102,0.0427157492935266
13,2,w3.weight,59.599281311035156,57.942989349365234,4.177409648895264,0.07009161112353417
13,3,w1.weight,60.21415328979492,58.656009674072266,1.5462682247161865,0.025679481321847664
13,3,w2.weight,115.60450744628906,112.61368560791016,2.9685704708099365,0.025678674096588635
13,3,w3.weight,59.45781707763672,57.919490814208984,1.5267536640167236,0.02567792998560892
13,4,w1.weight,61.3597297668457,59.67324447631836,4.296289443969727,0.07001806331766239
13,4,w2.weight,115.6467056274414,112.53020477294922,4.939385890960693,0.042710995217390794
13,4,w3.weight,59.599281311035156,57.94327926635742,4.176616668701172,0.0700783059262793
13,5,w1.weight,60.21415328979492,58.6577033996582,1.5603740215301514,0.025913741807851297
13,5,w2.weight,115.60450744628906,112.61537170410156,2.98478364944458,0.02581892103844924
13,5,w3.weight,59.45781707763672,57.92109680175781,1.541430115699768,0.02592476803659018
13,6,w1.weight,61.3597297668457,59.7722282409668,1.575810432434082,0.02568150867713744
13,6,w2.weight,115.6467056274414,112.65461730957031,2.9696829319000244,0.025678923716745572
13,6,w3.weight,59.599281311035156,58.0574836730957,1.5304332971572876,0.025678720674000698
13,7,w1.weight,60.21415328979492,58.665992736816406,1.8225598335266113,0.030267964157115666
13,7,w2.weight,115.60450744628906,112.62047576904297,3.1200623512268066,0.026989106395149773
13,7,w3.weight,59.45781707763672,57.929256439208984,1.8117330074310303,0.030470896788311944
14,0,w1.weight,61.50471878051758,59.91364669799805,1.5794687271118164,0.025680447914056766
14,0,w2.weight,116.14582824707031,113.14183807373047,2.982337236404419,0.025677523518625563
14,0,w3.weight,59.7955436706543,58.248348236083984,1.5355104207992554,0.0256793454250807
14,1,w1.weight,61.255191802978516,59.670501708984375,1.573175072669983,0.025682314043353662
14,1,w2.weight,116.00835418701172,113.00682830810547,2.9789493083953857,0.02567874813216584
14,1,w3.weight,59.70075225830078,58.156131744384766,1.5330556631088257,0.025679000768296753
14,2,w1.weight,61.50471878051758,59.80394744873047,4.375377655029297,0.07113889375940344
14,2,w2.weight,116.14582824707031,113.01844024658203,4.984373092651367,0.04291478366358846
14,2,w3.weight,59.7955436706543,58.13091278076172,4.2283430099487305,0.07071334668746883
14,3,w1.weight,61.255191802978516,59.670501708984375,1.573175072669983,0.025682314043353662
14,3,w2.weight,116.00835418701172,113.00682830810547,2.9789493083953857,0.02567874813216584
14,3,w3.weight,59.70075225830078,58.156131744384766,1.5330556631088257,0.025679000768296753
14,4,w1.weight,61.50471878051758,59.803985595703125,4.375389099121094,0.0711390798279202
14,4,w2.weight,116.14582824707031,113.01839447021484,4.98439359664917,0.04291496020025889
14,4,w3.weight,59.7955436706543,58.13086700439453,4.228361129760742,0.07071364971694058
14,5,w1.weight,61.255191802978516,59.670501708984375,1.573175072669983,0.025682314043353662
14,5,w2.weight,116.00835418701172,113.00682830810547,2.9789493083953857,0.02567874813216584
14,5,w3.weight,59.70075225830078,58.156131744384766,1.5330556631088257,0.025679000768296753
14,6,w1.weight,61.50471878051758,59.91364669799805,1.5794687271118164,0.025680447914056766
14,6,w2.weight,116.14582824707031,113.14183807373047,2.982337236404419,0.025677523518625563
14,6,w3.weight,59.7955436706543,58.248348236083984,1.5355104207992554,0.0256793454250807
14,7,w1.weight,61.255191802978516,59.670501708984375,1.573175072669983,0.025682314043353662
14,7,w2.weight,116.00835418701172,113.00682830810547,2.9789493083953857,0.02567874813216584
14,7,w3.weight,59.70075225830078,58.156131744384766,1.5330556631088257,0.025679000768296753
15,0,w1.weight,61.933963775634766,60.32378387451172,1.9109476804733276,0.03085460002844314
15,0,w2.weight,116.88624572753906,113.8582992553711,3.186185836791992,0.027258860244505925
15,0,w3.weight,60.006690979003906,58.44798278808594,1.872313380241394,0.031201743500511928
15,1,w1.weight,62.21654510498047,60.61370086669922,1.9168378114700317,0.030809132976375393
15,1,w2.weight,116.88302612304688,113.869140625,3.1815333366394043,0.02721980634972665
15,1,w3.weight,59.92424011230469,58.3852424621582,1.868316650390625,0.031177978175261974
15,2,w1.weight,61.933963775634766,60.32906723022461,1.7737098932266235,0.028638727203899456
15,2,w2.weight,116.88624572753906,113.86141204833984,3.1044504642486572,0.026559587442692625
15,2,w3.weight,60.006690979003906,58.45173645019531,1.7325276136398315,0.028872240501413533
15,3,w1.weight,62.21654510498047,60.61893844604492,2.062958002090454,0.03315770746526522
15,3,w2.weight,116.88302612304688,113.87487030029297,3.27022123336792,0.027978581166483617
15,3,w3.weight,59.92424011230469,58.39189147949219,2.0215442180633545,0.03373499963077917
15,4,w1.weight,61.933963775634766,60.210784912109375,4.117555141448975,0.06648299076037471
15,4,w2.weight,116.88624572753906,113.75790405273438,4.727155685424805,0.0404423604847719
15,4,w3.weight,60.006690979003906,58.335872650146484,3.935006856918335,0.06557613480628538
15,5,w1.weight,62.21654510498047,60.68424606323242,2.9048874378204346,0.04668995092734344
15,5,w2.weight,116.88302612304688,113.9233627319336,3.8355627059936523,0.03281539529919244
15,5,w3.weight,59.92424011230469,58.45991134643555,2.8603827953338623,0.04773331776878838
15,6,w1.weight,61.933963775634766,60.138404846191406,4.6141252517700195,0.07450072578085455
15,6,w2.weight,116.88624572753906,113.69168090820312,5.124634742736816,0.043842923612092535
15,6,w3.weight,60.006690979003906,58.26567840576172,4.3923115730285645,0.07319703022060228
15,7,w1.weight,62.21654510498047,60.8984260559082,4.078156471252441,0.06554778097001591
15,7,w2.weight,116.88302612304688,114.10354614257812,4.647916316986084,0.03976553714559905
15,7,w3.weight,59.92424011230469,58.68141174316406,3.9782216548919678,0.06638751943180708
16,0,w1.weight,62.643550872802734,61.022727966308594,1.6088004112243652,0.025681820216274086
16,0,w2.weight,117.5829086303711,114.5410385131836,3.019315004348755,0.02567817924831343
16,0,w3.weight,60.24258804321289,58.683746337890625,1.5469839572906494,0.02567924133971385
16,1,w1.weight,62.54345703125,60.73285675048828,4.5205979347229,0.07227931024765867
16,1,w2.weight,117.60956573486328,114.39769744873047,5.04099178314209,0.04286208992988173
16,1,w3.weight,60.22745895385742,58.47588348388672,4.255475044250488,0.0706567256558292
16,2,w1.weight,62.643550872802734,61.02745056152344,1.7934057712554932,0.02862873745610241
16,2,w2.weight,117.5829086303711,114.54513549804688,3.1470959186553955,0.026764909588590406
16,2,w3.weight,60.24258804321289,58.68903732299805,1.7600866556167603,0.02921665075800188
16,3,w1.weight,62.54345703125,60.90788269042969,3.233581781387329,0.051701359900390695
16,3,w2.weight,117.60956573486328,114.54881286621094,4.099854469299316,0.03485987252552156
16,3,w3.weight,60.22745895385742,58.66318130493164,3.19058895111084,0.05297565274263389
16,4,w1.weight,62.643550872802734,61.02680587768555,1.775693655014038,0.028345993007636853
16,4,w2.weight,117.5829086303711,114.54531860351562,3.137162923812866,0.026680433069356184
16,4,w3.weight,60.24258804321289,58.68885040283203,1.7374159097671509,0.028840326523170753
16,5,w1.weight,62.54345703125,60.925411224365234,1.6061276197433472,0.025680186161452758
16,5,w2.weight,117.60956573486328,114.56658172607422,3.0204379558563232,0.025681907223988176
16,5,w3.weight,60.22745895385742,58.6692008972168,1.5465871095657349,0.025679102795132185
16,6,w1.weight,62.643550872802734,61.02479553222656,1.6439656019210815,0.026243173942344284
16,6,w2.weight,117.5829086303711,114.54256439208984,3.044710636138916,0.02589415988772756
16,6,w3.weight,60.24258804321289,58.68523406982422,1.5873640775680542,0.026349533264231416
16,7,w1.weight,62.54345703125,60.72542953491211,4.634864330291748,0.07410630224638609
16,7,w2.weight,117.60956573486328,114.38874053955078,5.128386497497559,0.04360518181878888
16,7,w3.weight,60.22745895385742,58.468467712402344,4.35921049118042,0.0723791202036285
17,0,w1.weight,62.658660888671875,61.03757858276367,1.6092318296432495,0.025682512310666993
17,0,w2.weight,119.07705688476562,115.99617767333984,3.0576958656311035,0.025678295598035316
17,0,w3.weight,60.904502868652344,59.328819274902344,1.5639647245407104,0.025678967085792603
17,1,w1.weight,62.523681640625,61.17222595214844,4.515506267547607,0.07222073539274065
17,1,w2.weight,118.85364532470703,116.05838012695312,4.860889434814453,0.04089810978480726
17,1,w3.weight,60.78935241699219,59.535282135009766,4.299691677093506,0.07073099985667163
17,2,w1.weight,62.658660888671875,61.299530029296875,4.514094829559326,0.07204263170544971
17,2,w2.weight,119.07705688476562,116.27159881591797,4.858520984649658,0.040801486967815735
17,2,w3.weight,60.904502868652344,59.64494705200195,4.270983695983887,0.07012591015141673
17,3,w1.weight,62.523681640625,60.90619659423828,1.605697751045227,0.02568143316118949
17,3,w2.weight,118.85364532470703,115.77770233154297,3.052208662033081,0.02568039586581001
17,3,w3.weight,60.78935241699219,59.21681594848633,1.5610432624816895,0.025679550783391993
17,4,w1.weight,62.658660888671875,61.03757858276367,1.6092318296432495,0.025682512310666993
17,4,w2.weight,119.07705688476562,115.99617767333984,3.0576958656311035,0.025678295598035316
17,4,w3.weight,60.904502868652344,59.328819274902344,1.5639647245407104,0.025678967085792603
17,5,w1.weight,62.523681640625,60.90619659423828,1.605697751045227,0.02568143316118949
17,5,w2.weight,118.85364532470703,115.77770233154297,3.052208662033081,0.02568039586581001
17,5,w3.weight,60.78935241699219,59.21681594848633,1.5610432624816895,0.025679550783391993
17,6,w1.weight,62.658660888671875,61.03757858276367,1.6092318296432495,0.025682512310666993
17,6,w2.weight,119.07705688476562,115.99617767333984,3.0576958656311035,0.025678295598035316
17,6,w3.weight,60.904502868652344,59.328819274902344,1.5639647245407104,0.025678967085792603
17,7,w1.weight,62.523681640625,60.90687561035156,1.6132525205612183,0.02580226369000279
17,7,w2.weight,118.85364532470703,115.77818298339844,3.056480646133423,0.025716339097409432
17,7,w3.weight,60.78935241699219,59.21748352050781,1.5694468021392822,0.025817791105479118
18,0,w1.weight,63.392173767089844,61.76533889770508,4.353092193603516,0.06866923683035715
18,0,w2.weight,119.33306121826172,116.31731414794922,4.618975639343262,0.03870658803342903
18,0,w3.weight,60.98891830444336,59.475791931152344,4.014913082122803,0.06583020643326001
18,1,w1.weight,62.732017517089844,61.07137680053711,2.059605836868286,0.03283181250000708
18,1,w2.weight,119.44491577148438,116.3429946899414,3.28918194770813,0.027537228574892124
18,1,w3.weight,60.983150482177734,59.38079071044922,2.009920597076416,0.032958621868245074
18,2,w1.weight,63.392173767089844,61.764129638671875,3.9783709049224854,0.06275807672315223
18,2,w2.weight,119.33306121826172,116.30274963378906,4.474748134613037,0.037497974902601615
18,2,w3.weight,60.98891830444336,59.46327590942383,3.7849762439727783,0.06206006515936127
18,3,w1.weight,62.732017517089844,60.88313674926758,4.925603866577148,0.07851818037312774
18,3,w2.weight,119.44491577148438,116.24571228027344,5.116232872009277,0.04283340851273518
18,3,w3.weight,60.983150482177734,59.24360275268555,4.499337673187256,0.07378001362035418
18,4,w1.weight,63.392173767089844,61.722923278808594,2.0419859886169434,0.03221195720656943
18,4,w2.weight,119.33306121826172,116.23780059814453,3.276383399963379,0.027455789422604383
18,4,w3.weight,60.98891830444336,59.39302444458008,1.9823673963546753,0.032503731029612584
18,5,w1.weight,62.732017517089844,61.011051177978516,4.753790378570557,0.07577933193803983
18,5,w2.weight,119.44491577148438,116.34063720703125,5.075006008148193,0.04248825473540775
18,5,w3.weight,60.983150482177734,59.35641860961914,4.408231735229492,0.07228606099184268
18,6,w1.weight,63.392173767089844,61.72481918334961,1.928843379020691,0.03042715313892616
18,6,w2.weight,119.33306121826172,116.23878479003906,3.2106356620788574,0.026904829468897443
18,6,w3.weight,60.98891830444336,59.39351272583008,1.8676174879074097,0.030622243184977315
18,7,w1.weight,62.732017517089844,61.071380615234375,2.052459955215454,0.03271790126399613
18,7,w2.weight,119.44491577148438,116.34281921386719,3.2862045764923096,0.027512301844469237
18,7,w3.weight,60.983150482177734,59.3802490234375,1.9977964162826538,0.03275980988988877
19,0,w1.weight,63.260833740234375,61.60460662841797,4.516536235809326,0.07139545859220478
19,0,w2.weight,119.97163391113281,116.91204071044922,4.78602409362793,0.0398929641749571
19,0,w3.weight,61.12535858154297,59.57112503051758,4.207040786743164,0.0688264393759062
19,1,w1.weight,63.607059478759766,61.68223190307617,5.3678693771362305,0.08439109465402393
19,1,w2.weight,120.0698471069336,116.83642578125,5.310461044311523,0.04422809866312239
19,1,w3.weight,61.213584899902344,59.43744659423828,4.8463826179504395,0.07917168428993761
19,2,w1.weight,63.260833740234375,61.584590911865234,3.1477346420288086,0.049758032828877745
