layer,active_top1,active_top2,top1_eff_num,top2_eff_num,top1_dominant_expert,top1_dominant_frac,top2_dominant_expert,top2_dominant_frac,hidden_router_pair_diff_max,top1_counts,top2_counts
0,2,8,1.479919551805032,3.6980055863412264,2,0.8670332416895776,2,0.490627343164209,0.0,"[0, 0, 3469, 0, 0, 0, 532, 0]","[1357, 486, 3926, 27, 75, 137, 1983, 11]"
1,3,3,1.8731791058809284,2.811043651671,7,0.7443139215196201,7,0.5,0.0,"[63, 0, 0, 0, 0, 0, 960, 2978]","[2314, 0, 0, 0, 0, 0, 1687, 4001]"
2,2,2,1.4943789907915135,2.0,5,0.8617845538615346,5,0.5,0.0,"[0, 0, 0, 0, 0, 3448, 553, 0]","[0, 0, 0, 0, 0, 4001, 4001, 0]"
3,1,7,1.0,2.984736366103775,1,1.0,1,0.5,0.0,"[0, 4001, 0, 0, 0, 0, 0, 0]","[50, 4001, 0, 534, 73, 251, 3072, 21]"
4,2,4,1.6728835659577683,3.304428077416667,2,0.7895526118470383,6,0.4026493376655836,0.0,"[0, 0, 3159, 0, 0, 0, 0, 842]","[0, 0, 3168, 0, 0, 765, 3222, 847]"
5,2,6,1.723386980710214,3.2239825802731437,5,0.7658085478630342,5,0.44863784053986505,0.0,"[0, 0, 0, 0, 0, 3064, 937, 0]","[411, 0, 0, 184, 237, 3590, 3347, 233]"
6,2,2,1.5106497960137495,2.0,5,0.8557860534866284,5,0.5,0.0,"[0, 0, 0, 0, 0, 3424, 577, 0]","[0, 0, 0, 0, 0, 4001, 4001, 0]"
7,1,3,1.0,2.795309471969213,7,1.0,7,0.5,0.0,"[0, 0, 0, 0, 0, 0, 0, 4001]","[0, 0, 0, 2433, 0, 0, 1568, 4001]"
8,1,3,1.0,2.5154168327641435,1,1.0,1,0.5,0.0,"[0, 4001, 0, 0, 0, 0, 0, 0]","[0, 4001, 3314, 687, 0, 0, 0, 0]"
9,2,4,1.9078710398525065,2.987606326405403,1,0.6523369157710572,1,0.4031492126968258,0.0,"[0, 2610, 1391, 0, 0, 0, 0, 0]","[66, 3226, 1594, 0, 0, 3116, 0, 0]"
10,2,3,1.7394875386759314,2.942342485967375,4,0.7578105473631592,4,0.42801799550112474,0.0,"[0, 0, 0, 0, 3032, 0, 969, 0]","[0, 0, 0, 0, 3425, 2302, 2275, 0]"
11,2,4,1.5966320569024033,3.3867734067683815,3,0.8222944263934017,3,0.42626843289177707,0.0,"[711, 0, 0, 3290, 0, 0, 0, 0]","[1326, 2675, 0, 3411, 0, 0, 590, 0]"
12,2,4,1.9005311841554349,3.602804328249995,7,0.6583354161459635,7,0.3821544613846538,0.0,"[0, 0, 0, 0, 0, 0, 1367, 2634]","[0, 0, 1303, 0, 943, 0, 2698, 3058]"
13,2,2,1.0647851193092648,2.0,4,0.9885028742814297,2,0.5,0.0,"[0, 0, 46, 0, 3955, 0, 0, 0]","[0, 0, 4001, 0, 4001, 0, 0, 0]"
14,1,2,1.0,2.0,4,1.0,2,0.5,0.0,"[0, 0, 0, 0, 4001, 0, 0, 0]","[0, 0, 4001, 0, 4001, 0, 0, 0]"
15,1,3,1.0,2.5590381544721166,4,1.0,4,0.5,0.0,"[0, 0, 0, 0, 4001, 0, 0, 0]","[0, 0, 0, 0, 4001, 0, 3222, 779]"
16,2,2,1.890644238785719,2.0,1,0.6660834791302175,1,0.5,0.0,"[0, 2665, 0, 0, 0, 0, 0, 1336]","[0, 4001, 0, 0, 0, 0, 0, 4001]"
17,1,2,1.0,2.0,1,1.0,1,0.5,0.0,"[0, 4001, 0, 0, 0, 0, 0, 0]","[0, 4001, 4001, 0, 0, 0, 0, 0]"
18,1,3,1.0,2.507945666360338,5,1.0,5,0.5,0.0,"[0, 0, 0, 0, 0, 4001, 0, 0]","[3329, 0, 0, 672, 0, 4001, 0, 0]"
19,2,5,1.720316877051661,3.78759128603966,0,0.7673081729567608,0,0.3982754311422144,0.0,"[3070, 0, 0, 931, 0, 0, 0, 0]","[3187, 1392, 0, 2554, 690, 0, 0, 179]"
20,2,5,1.2096142807935342,3.576002524913655,6,0.9527618095476131,6,0.5,0.0,"[0, 0, 189, 0, 0, 0, 3812, 0]","[0, 0, 1963, 0, 226, 1187, 4001, 625]"
21,2,2,1.2329056613765625,2.0,6,0.9462634341414646,4,0.5,0.0,"[0, 0, 0, 0, 215, 0, 3786, 0]","[0, 0, 0, 0, 4001, 0, 4001, 0]"
22,1,2,1.0,2.0,5,1.0,1,0.5,0.0,"[0, 0, 0, 0, 0, 4001, 0, 0]","[0, 4001, 0, 0, 0, 4001, 0, 0]"
23,1,3,1.0,2.8239309321557036,1,1.0,1,0.5,0.0,"[0, 4001, 0, 0, 0, 0, 0, 0]","[1841, 4001, 0, 2160, 0, 0, 0, 0]"
24,1,2,1.0,2.0,2,1.0,2,0.5,0.0,"[0, 0, 4001, 0, 0, 0, 0, 0]","[0, 0, 4001, 0, 0, 0, 4001, 0]"
